ConditionID,Pressure_psi,Camber_deg,FZ_N,PeakFY_N,Mu_y,PeakSA_deg,CAlpha_NperDeg,Samples
11,8.100355545,0,430.85,1258.51476190476,2.92100443751831,10.399,351.977478646455,1229
11,8.100355545,0,653.5,1786.67619047619,2.73401100302401,10.323,438.994658059724,1248
11,8.100355545,0,869.21,2306.9819047619,2.65411339579837,9.844,498.995961077868,987
11,8.100355545,0,909.425,2296.01333333333,2.5246868442514,10.774,489.273109707229,264
11,8.100355545,0,1067.6,2761.74857142857,2.58687576941605,10.777,533.115877910088,1489
11,8.100355545,0,1127.31,2758.5680952381,2.44703594861936,10.579,515.739289077921,1011
12,8.100355545,2,435.7,1253.59666666667,2.87720143829852,8.067,341.438026024723,1230
12,8.100355545,2,661.98,1811.65285714286,2.73671841618003,10.044,431.541782120593,1249
12,8.100355545,2,866.77,2309.34333333333,2.66430925543493,9.628,488.904534363243,1063
12,8.100355545,2,909.245,2160.08952380952,2.3756957957531,7.759,467.824538806768,186
12,8.100355545,2,1066.45,2765.95095238095,2.59360584404421,10.392,516.887994103664,672
12,8.100355545,2,1133.49,2763.45,2.43800121747876,10.256,498.739279968199,578
13,8.100355545,4,437.98,1165.55714285714,2.66121088373246,8.513,304.243244655918,1226
13,8.100355545,4,667.5,1730.14904761905,2.59198359193865,10.377,399.02473935287,1241
13,8.100355545,4,869.44,2252.54,2.59079407434671,9.818,463.101784246181,974
13,8.100355545,4,913.455,2085.10571428571,2.28265838414122,7.508,444.595215267787,256
13,8.100355545,4,1069.25,2697.47619047619,2.52277408508412,10.044,493.510748636893,602
13,8.100355545,4,1137.22,2697.80428571429,2.37228002120459,10.014,478.984600488616,647
21,10.103326182,0,433.24,1245.87380952381,2.87571279088683,11.742,369.689496822343,1237
21,10.103326182,0,658.91,1802.70238095238,2.7358856003891,10.507,478.999443612889,1240
21,10.103326182,0,877.06,2346.52761904762,2.67544708349214,9.712,559.286324836029,986
21,10.103326182,0,909.45,2277.92666666667,2.50472996499716,11.593,551.798543584428,264
21,10.103326182,0,1075.8,2867.8819047619,2.66581325967829,10.217,596.406238628846,1229
21,10.103326182,0,1119.91,2869.49047619048,2.5622509631939,9.979,584.771372433612,1271
22,10.103326182,2,438.02,1230.41857142857,2.80904655364726,10.885,350.662368556326,1235
22,10.103326182,2,663.5,1799.32476190476,2.71186851831916,10.524,460.301076718859,1250
22,10.103326182,2,873.16,2318.07238095238,2.65480826074532,10.395,534.766778101209,1090
22,10.103326182,2,906.36,2081.93857142857,2.29703271484683,-8.208,515.517979435118,159
22,10.103326182,2,1076.71,2810.32333333333,2.61010237978038,9.762,572.575751918027,571
22,10.103326182,2,1121.35,2812.23,2.50789673161814,9.841,557.629380028327,679
23,10.103326182,4,443.48,1137.95,2.56595562370344,8.498,306.550530160352,1232
23,10.103326182,4,670.005,1672.67666666667,2.49651370760915,8.068,412.219811794041,1230
23,10.103326182,4,875.1,2229.10714285714,2.54725990499045,9.68,492.625872249022,987
