Fz_N,mu_observed_peak_region,Fy_observed_N,ObservedSA_deg,Calpha_N_per_deg,N,Status,ConfirmedPeakFitEligible,PeakUsable,BoundaryLimited,AuditFlag
207.92,2.89736547084623,606.67,7.4,183.985835983954,4909,NEAR-PLATEAU,0,0,0,LOW-LOAD-REVIEW
NaN,NaN,NaN,NaN,NaN,0,UNRESOLVED,0,0,0,INSUFFICIENT-SAMPLES
429.955,2.56916773316421,1139.17,12.2,272.767085594076,4448,BOUNDARY-LIMITED,0,0,1,BOUNDARY-LIMITED
455.22,2.44223495321728,1164.01,6.6,298.966435465914,535,NEAR-PLATEAU,0,1,0,NEAR-PLATEAU
642.05,2.42118875054203,1598.94,9.8,381.97390480787,1763,NEAR-PLATEAU,0,1,0,NEAR-PLATEAU
663.45,2.38825994699462,1633.295,12.2,387.542483441184,3205,BOUNDARY-LIMITED,0,0,1,BOUNDARY-LIMITED
NaN,NaN,NaN,NaN,NaN,0,UNRESOLVED,0,0,0,INSUFFICIENT-SAMPLES
875.52,2.30205583553316,2062.11,12.2,473.695267662455,4773,BOUNDARY-LIMITED,0,0,1,BOUNDARY-LIMITED
NaN,NaN,NaN,NaN,NaN,0,UNRESOLVED,0,0,0,INSUFFICIENT-SAMPLES
1092.33,2.24697115900075,2536.21,12.2,548.955602884218,6558,BOUNDARY-LIMITED,0,0,1,BOUNDARY-LIMITED
1130.71,2.22397699623977,2521.26,9.8,451.668616418233,697,NEAR-PLATEAU,0,1,0,NEAR-PLATEAU
