Method,Fz_N,MethodID,Calpha_N_per_deg,Fy_intercept_N,R2,N_low_alpha
LOCAL_0_0p5,207.92,1,241.944965957246,9.10928181412806,0.981088880097364,197
LOCAL_0_1p0,207.92,2,230.16223500593,9.85165586177061,0.991770377050798,399
BROAD_0p25_2p0,207.92,3,202.639883146575,8.9348402500681,0.985813162607871,655
LOCAL_0_0p5,429.955,1,370.152582124906,20.1249222416951,0.987084392052174,192
LOCAL_0_1p0,429.955,2,359.654822951486,18.9907745274755,0.99275911760787,356
BROAD_0p25_2p0,429.955,3,317.852366556341,6.64531740894029,0.98995949090177,541
LOCAL_0_1p0,455.22,2,377.472603382335,12.775591168765,0.906519784078337,37
BROAD_0p25_2p0,455.22,3,337.562508469139,35.9649494560371,0.991042273090462,157
LOCAL_0_0p5,642.05,1,466.722399314682,35.1617885760545,0.992000748386813,109
LOCAL_0_1p0,642.05,2,465.687319801345,29.6357854524431,0.99601923466875,204
BROAD_0p25_2p0,642.05,3,427.4545226787,15.8412822437403,0.994607994353101,289
LOCAL_0_0p5,663.45,1,492.052457727531,28.1358073318691,0.995412243706209,89
LOCAL_0_1p0,663.45,2,474.031125863037,31.9725752298707,0.995260347221295,190
BROAD_0p25_2p0,663.45,3,436.242165394879,37.2919597105943,0.994580575855389,411
LOCAL_0_0p5,875.52,1,555.501478962745,43.5917918029387,0.993449784267635,156
LOCAL_0_1p0,875.52,2,551.262984783859,41.743816001472,0.996695775435808,339
BROAD_0p25_2p0,875.52,3,516.948944802112,43.3913243558725,0.996232658137801,628
LOCAL_0_0p5,1092.33,1,602.933242427761,51.1492663560362,0.993751947282858,279
LOCAL_0_1p0,1092.33,2,599.605675568846,50.074813420633,0.996838428997189,533
BROAD_0p25_2p0,1092.33,3,573.714737534891,46.9929624174115,0.997010804465565,848
LOCAL_0_1p0,1130.71,2,593.961163113254,57.8612036932521,0.996876590727784,31
BROAD_0p25_2p0,1130.71,3,566.98571670642,70.9027060319084,0.997394033640089,129
