Camber_deg,SA_deg,Fy_signed_median_N,Fy_magnitude_median_N,Mu_median,N
0,0,48.89,57.65,0.0686966208689194,69
0,1,479.785,538.17,0.617372967934153,142
0,2,-846.615,970.665,1.10650093070179,144
0,3,-1167.065,1310.88,1.50269351016375,150
0,4,1515.76,1579.195,1.82143899381976,158
0,5,1728.98,1765.45,2.03666913204039,152
0,6,-1739.05,1881.73,2.15191718407492,145
0,7,-1792.965,1962.61,2.23578371700403,156
0,8,-1819.96,2011.05,2.29028501075312,162
0,9,-1825.11,2008.2,2.2897643679503,153
0,10,38.7,2001.705,2.30044849646033,160
0,11,-1816.9,2012.01,2.29804810176259,154
0,12,1880.59,2001.24,2.27957973224877,133
2,0,-99.06,99.06,0.119323520200438,35
2,1,339.33,519.115,0.595945709280094,76
2,2,802.48,962.365,1.09638445616161,74
2,3,-1198.33,1289.2,1.49673006673107,77
2,4,1457.86,1545.59,1.78861389781452,75
2,5,1678.295,1751.6,2.02303422832369,76
2,6,1809.59,1875.44,2.16843097854761,79
2,7,1927.15,1957.465,2.24677956565503,78
2,8,56.1999999999999,2034.175,2.33797659877628,76
2,9,1976.82,2035.13,2.32347710093375,79
2,10,1989.115,2051.48,2.34878858367124,80
2,11,1996.22,2054.205,2.35654079622638,80
2,12,-1880.55,2057.535,2.33320433386736,60
4,0,-203.95,203.95,0.238521273360934,37
4,1,-582.98,582.98,0.657857320183258,75
4,2,-935.94,935.94,1.04589493445975,77
4,3,1021.125,1201.365,1.38956781837292,80
4,4,-1427.84,1470.35,1.71000664933662,74
4,5,-1583.75,1665.755,1.92653174919166,78
4,6,1744.47,1817.28,2.06334371754932,79
4,7,-1722.18,1911.91,2.14856977417487,81
4,8,-1763.79,1970.88,2.24913918609757,81
4,9,72.9,1997.785,2.30237111606936,82
4,10,-1790.78,2014.41,2.2990676712423,73
4,11,-1792.425,2033.675,2.3038888161178,76
4,12,1980.62,2001.12,2.27385155063008,53
