Fz_N,SA_deg,Fy_median_N,Mu_median,N
196.275,0,26.76,0.130749494902652,82
201.3,1,220.25,1.0741829584987,159
211.125,2,356.34,1.73121437382196,146
213.72,3,460.69,2.13392715964792,161
212.035,4,516.605,2.44284406098617,162
209.87,5,561.05,2.67526787624775,160
208.82,6,585.39,2.81086657496561,155
208.46,7,600.035,2.89831814214447,158
208.23,8,604.94,2.91838667863197,159
206,9,598.67,2.90130778588808,163
206.575,10,590.65,2.86716067058884,162
208.45,11,586.79,2.82996561631576,161
207.78,12,594.56,2.86679518525484,155
259.46,2,414.645,1.58782743341217,18
417.18,0,37.89,0.091432240855541,77
418.59,1,337.9,0.809927263375019,126
426.88,2,568.74,1.35870382554751,105
433.73,3,756.885,1.75270046709612,126
431.06,4,889.92,2.07359275575135,151
431.62,5,997.87,2.31703685916677,155
431.97,6,1056.76,2.46492439994089,146
429.38,7,1090.335,2.55060012835258,150
431.03,8,1105.34,2.57683601891486,157
432.31,9,1110.895,2.57635247035559,146
429.27,10,1113.24,2.58003573896282,148
429.05,11,1115.89,2.58694081171177,151
434.89,12,1127.01,2.57692145266481,122
469.12,1,386.78,0.835488027011418,35
466.54,2,642.16,1.37515468617703,55
455.81,3,808.59,1.76391418291654,37
455.55,4,921.595,2.03153565702131,10
451.22,6,1061.04,2.35373455489252,11
451.535,9,1122.025,2.48491487517402,14
452.05,10,1139.235,2.52546536444629,14
451.72,12,1132.41,2.50123691301851,11
627.585,0,47.175,0.0771913139034568,46
637.08,1,464.105,0.728150997607003,70
639.3,2,806.97,1.26749316430524,39
641.275,3,1056.975,1.64320063437373,48
642.43,4,1250.325,1.95871335261331,64
639.49,5,1414.175,2.22897787237937,72
641.19,6,1504.605,2.34907163593762,66
643.88,7,1541.26,2.42138977034052,52
642.825,8,1565.085,2.43475247028996,54
643.475,9,1550.17,2.40990579706723,52
645.01,10,1563.41,2.42118875054203,51
645.86,11,1564.27,2.42199547889636,53
646.48,12,1551.85,2.39924384461627,29
661.07,0,51.38,0.0763810429922103,31
670.67,1,454.16,0.675723049956179,93
668.87,2,807.765,1.2083060127001,122
665.22,3,1056.2,1.58849425458887,113
663.98,4,1250.285,1.88713995387006,90
667.35,5,1392.14,2.08118251080483,84
660.965,6,1475.52,2.22999001869343,92
659.63,7,1524.22,2.3090294558248,108
661.795,8,1555.37,2.34291336254465,106
662.59,9,1582.98,2.3781698234302,107
662.645,10,1586.32,2.38504578556757,110
663.29,11,1586.08,2.39160871296835,107
662.9,12,1580.81,2.37780151018321,95
864.48,0,53.23,0.0605004947119412,58
875.31,1,538.97,0.61957671957672,141
885.83,2,970.665,1.10650093070179,144
875.51,3,1311.76,1.50153995593357,149
871.34,4,1580.2,1.81875995489054,155
866.81,5,1765.82,2.03617553433379,151
873.28,6,1881.73,2.15191718407492,145
874.62,7,1962.61,2.23578371700403,156
875.715,8,2011.05,2.29028501075312,162
873.9,9,2008.2,2.2897643679503,153
873.46,10,2001.705,2.30044849646033,160
876.76,11,2012.01,2.29804810176259,154
877.86,12,2001.24,2.27957973224877,133
1083.18,0,66.245,0.0612055254285336,114
1095.715,1,589.08,0.539988476496229,192
1097,2,1110.27,1.02164669137707,185
1079.8,3,1523.61,1.40578328869743,163
1065.44,4,1846,1.72173113185853,191
1080.17,5,2088.07,1.94583436315247,198
1093.54,6,2250.83,2.08859215329323,205
1096.18,7,2368.78,2.16021694903957,210
1091.185,8,2448.705,2.22880895994616,226
1092.07,9,2475.605,2.25606681782955,238
1092.99,10,2455.185,2.25173539972196,236
1094.055,11,2445.725,2.25238315752415,242
1099.26,12,2433.35,2.23220994628893,177
1129.63,1,594.02,0.5270573621401,29
1132.4,2,1039.46,0.91874252125565,46
1133.84,3,1461.95,1.28776667899864,63
1132.23,4,1797.38,1.590757449467,44
1129.98,5,1981,1.76015353585613,37
1130.29,6,2261.16,1.99022569596909,25
1130.45,7,2378.62,2.10032351048544,21
