Pressure_psi,SA_deg,Fy_median_N,Mu_median,N
8,0,44.53,0.051442302138327,19
8,1,509.62,0.574392379531541,40
8,2,972.15,1.10255264480813,41
8,3,1348.85,1.54476023115136,41
8,4,1631.39,1.89881889304744,41
8,5,1847.45,2.14285304450049,40
8,6,2029.57,2.32424335354203,41
8,7,2129.73,2.42188742142077,40
8,8,2175.68,2.48355949161474,38
8,9,2213.42,2.54972075221334,38
8,10,2220.22,2.5148904922313,39
8,11,2136.41,2.45381381190521,42
8,12,2150.43,2.47569941119723,29
10,0,59.37,0.0710583954710297,19
10,1,579.74,0.650860990547053,41
10,2,1062.765,1.18522980875125,40
10,3,1451.83,1.6466599417171,41
10,4,1737.135,1.96459111123774,42
10,5,1932.13,2.17423057446689,37
10,6,2066.23,2.31874201255765,41
10,7,2157.12,2.48804776310964,39
10,8,2199.08,2.48684785654245,43
10,9,2238.82,2.5508390690822,41
10,10,2249.66,2.55156065692768,39
10,11,2227.65,2.52945438615046,40
10,12,2208.61,2.51499794589326,30
12,0,58.425,0.0676286590222125,76
12,1,535.535,0.614316884503634,158
12,2,971.05,1.10644335892068,155
12,3,1309.65,1.50149856737354,156
12,4,1576.14,1.81875995489054,161
12,5,1765.08,2.03617553433379,159
12,6,1892.255,2.16524215204185,156
12,7,1969.69,2.23818886241311,160
12,8,2008.995,2.28632282402471,164
12,9,2010.88,2.29570590251867,158
12,10,2000.87,2.29890686285887,161
12,11,2012.985,2.29804810176259,160
12,12,2001.24,2.27957973224877,133
14,0,64.89,0.0717064114747939,19
14,1,535.6,0.61522452745178,39
14,2,956.28,1.08482137776412,39
14,3,1263.99,1.43414494085219,41
14,4,1510.11,1.74541142669834,40
14,5,1699.99,1.96885428253615,39
14,6,1836.195,2.10338801309736,40
14,7,1923.945,2.18170155637016,40
14,8,1969.5,2.25816334483407,40
14,9,2027.865,2.30369938841496,40
14,10,2057.805,2.3311623288983,42
14,11,2026.57,2.32069930553156,41
14,12,2101.36,2.35735960195453,29
