SA_deg,Fy_median_N,Fy_P10_N,Fy_P90_N,Mu_median,Mu_P10,Mu_P90,N
0,57.65,10.29,129.636,0.0686966208689194,0.0118472622077647,0.149464520473492,69
1,538.17,434.852,644.405,0.617372967934153,0.496256647383399,0.735491305602874,142
2,970.665,873.614,1075.524,1.10650093070179,0.991857393301962,1.22482556310825,144
3,1310.88,1213.37,1385.865,1.50269351016375,1.367479680513,1.59714728832574,150
4,1579.195,1492.569,1649.909,1.82143899381976,1.66780473459054,1.91639111437299,158
5,1765.45,1660.008,1854.143,2.03666913204039,1.84648677452517,2.16879791101017,152
6,1881.73,1766.52,1990.85,2.15191718407492,1.99482212406463,2.29847834118408,145
7,1962.61,1839.095,2084.449,2.23578371700403,2.08916211448731,2.41811693625392,156
8,2011.05,1902.852,2164.629,2.29028501075312,2.15085837842804,2.45933800420776,162
9,2008.2,1912.142,2176.52,2.2897643679503,2.17037073064,2.50402109190698,153
10,2001.705,1898.39,2174.74,2.30044849646033,2.16176971410785,2.46446963250296,160
11,2012.01,1873.476,2180.039,2.29804810176259,2.14415304405647,2.45678091042403,154
12,2001.24,1830.442,2194.326,2.27957973224877,2.1102108147698,2.48629723543195,133
