Type,Fz_N,Pressure_psi,Camber_deg,B_radInv,C,D_N,E,Sh_deg,CAlpha_NperDeg,R2,RMSE_N,PeakMu,PeakSA_deg,Samples,ParameterBoundFlag
REFERENCE,871.5,12.1,0,10.9258349944522,1.45628622435915,2023.04908116355,0.354351263130117,0.0259907344401635,561.804438020822,0.996636816836986,31.2387348986747,2.32134043974396,11.8760416666667,4742,0
LOAD,209.79,12.0990480814547,-0,15.6222921620833,1.41370004917372,596.215727569845,0.468338726751351,-0.0247339767480769,229.817356249898,0.992731196833573,11.9439289423754,2.8419632929879,9.991875,4571,0
LOAD,432.21,12.0990480814547,-0,17.2937121402539,1.03772700994718,1191.74368833174,0.305472099091031,0.0220426748133751,373.277295191,0.995432057059291,19.1014396388125,2.64610274030421,11.9752083333333,4883,0
LOAD,655.74,12.0917961945682,-0.002,12.246116840592,1.3432121743459,1602.8094050617,0.350802792943791,-0.00227297036625997,460.153010713928,0.997711327146613,19.7458497598881,2.43954223124715,11.9752083333333,4901,0
LOAD,875.275,12.0917961945682,-0.002,10.9258349944522,1.45628622435915,2023.04908116355,0.354351263130117,0.0259907344401635,561.804438020822,0.996636816836986,31.2387348986747,2.311328660406,11.8760416666667,4742,0
LOAD,1095.92,12.0990480814547,-0.002,7.80614964455364,1.75004115211185,2466.83774523234,0.352588021518628,-0.0180406418864722,588.17029389295,0.998727231443453,24.1808839491617,2.25092783207712,10.3885416666667,7147,0
PRESSURE,877.23,8.10035765223261,-0,8.11190576207648,1.6979328204871,2200.74377990286,0.353352601918141,0.0297031542359499,529.042120638318,0.997718704426085,29.0645320618586,2.50874050016883,10.735625,1229,0
PRESSURE,884.065,10.0960769234004,-0.004,9.31786197377946,1.57684475114293,2249.29336215678,0.342127922717559,-0.0117687116952508,576.804551814314,0.998949234024078,19.7564169121,2.54426218351224,11.033125,1230,0
PRESSURE,875.26,12.0917961945682,-0.002,10.4389731441965,1.50377974275105,2019.06188617586,0.355421989587816,0.0165114514595025,553.183233786749,0.997087418267722,29.1114383360904,2.30681345543272,11.2810416666667,4867,0
PRESSURE,880.4,14.0947673526225,-0.004,14.3417368753711,0.950211965405138,2317.70396227392,0.239055209429959,0.0123432143422504,551.261390284082,0.995915386717201,34.965543538332,2.39164475790464,11.925625,1219,0
CAMBER,875.275,12.0917961945682,-0.002,10.9258349944522,1.45628622435915,2023.04908116355,0.354351263130117,0.0259907344401635,561.804438020822,0.996636816836986,31.2387348986747,2.311328660406,11.8760416666667,4742,0
CAMBER,873.57,12.0917961945682,1.995,5.6218005426432,2.38557220614408,2053.08470498843,0.998999999999553,-0.014571003020681,480.565107343492,0.996218076033992,34.3961109440933,2.35022320393007,9.94229166666667,2367,1
CAMBER,880.4,12.0917961945682,3.992,17.6402684299779,0.300000000000054,5117.67738187257,-0.998999999998046,0.237960837875999,472.690328265778,0.975759515781511,85.955936231913,2.3759599213876,11.9752083333333,2338,1
