SweepID,ConditionID,RunNumber,SampleCount,FZ_Mean_N,FZ_Median_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,PeakAbsFY_N,MuY_Peak,SA_AtPeak_deg,PeakStatus,PeakBoundaryDistance_deg,CorneringStiffness_N_per_deg,StiffnessR2,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio
1,35,2,526,1085.10939163498,1081.305,12.0921849842358,-0.00104372623574144,24.9889504608675,2646.83,2.43922872698752,10.483,BOUNDARY_LIMITED,0,591.20181766306,0.998750431126092,2646.83,2596.24,0.980886569972382
2,34,2,527,873.483036053131,873.47,12.0872909429336,-0.00435673624288425,24.9899811853991,2212.9,2.53342069469269,10.497,BOUNDARY_LIMITED,0,535.319753613161,0.997353904454802,2212.9,2141.8,0.96787021555425
3,33,2,526,652.245038022814,652.85,12.1028229232506,-0.00404942965779468,24.9872139292086,1725.3,2.64517152208623,10.426,BOUNDARY_LIMITED,0.0519999999999996,450.270997505804,0.995351243447219,1725.3,1653.49,0.958378253057439
4,31,2,526,207.469505703422,207.345,12.0956565148785,-0.000231939163498099,24.9867414035871,667.44,3.21705109257891,8.603,RESOLVED,1.895,212.83945805148,0.988793399274467,667.44,638.84,0.957149706340645
5,35,2,526,1089.35992395437,1084.74,12.0908669606876,0.000444866920152091,24.9891867236782,2653.82,2.43612780463471,10.348,BOUNDARY_LIMITED,0.132999999999999,597.770504550691,0.998591482008054,2653.82,2608.62,0.982967948089923
6,32,2,526,428.583041825095,428.81,12.0944818746452,0.00344486692015209,24.9880881016083,1201,2.80225739890597,10.462,BOUNDARY_LIMITED,0,346.23034247286,0.992569881226786,1201,1157.14,0.963480432972523
7,39,2,526,872.61030418251,873.06,12.1077475886421,1.99527376425856,24.9880762884678,2200.28,2.52149211332233,10.171,BOUNDARY_LIMITED,0.322000000000001,532.673098354723,0.99834841774391,2200.28,2121.06,0.963995491482902
8,38,2,526,662.924771863118,663.265,12.0998890800386,1.9933288973384,24.990084522359,1724.84,2.60186385123673,10.113,BOUNDARY_LIMITED,0.362,452.109564758758,0.997182058721464,1724.84,1660.86,0.962906704389972
9,36,2,526,215.959372623574,215.995,12.1100251774514,1.99018060836502,24.9892221630998,692.11,3.20481575581522,-7.524,RESOLVED,2.967,211.658812457928,0.988643554344985,662.5,692.11,0.957217783300342
10,40,2,526,1098.99950570342,1099.045,12.0976914550011,1.99088212927757,24.9898364464077,2652.68,2.41372265067775,10.397,BOUNDARY_LIMITED,0.0839999999999996,586.030990048486,0.999133685374021,2652.68,2604.85,0.981969178340395
11,37,2,527,437.53935483871,437.98,12.084461743799,1.99456356736243,24.9888374851022,1211.36,2.76857381308373,10.203,BOUNDARY_LIMITED,0.290000000000001,344.846698818628,0.994935522191271,1211.36,1188.67,0.981268986923788
12,44,2,526,881.589562737643,880.66,12.0680221383088,3.99253422053232,24.9898600726888,2164.54,2.45526953980529,10.496,BOUNDARY_LIMITED,0,489.670733847655,0.998292411320902,2164.54,2096.17,0.96841361213006
13,43,2,526,671.097699619772,671.03,12.1131658235213,3.99236882129278,24.9899782040942,1693.3,2.52317956231914,10.404,BOUNDARY_LIMITED,0.0909999999999993,417.005417877859,0.997816042271086,1693.3,1647.25,0.972804582767377
14,41,2,526,220.477433460076,220.18,12.1069700098961,3.9923422053232,24.9883479907001,641.43,2.90927733479876,-7.912,RESOLVED,2.557,182.780596206056,0.991384317963982,610.4,641.43,0.951623715760099
15,45,2,527,1107.41812144212,1105.46,12.092696144393,3.98928842504744,24.989945813225,2618.07,2.3641206056757,10.354,BOUNDARY_LIMITED,0.139000000000001,548.119367565641,0.998721215539628,2618.07,2549.54,0.973824229298682
16,42,2,526,446.044961977186,446.84,12.1022438752482,3.99236882129278,24.9908878159155,1172.61,2.62890537940876,10.09,BOUNDARY_LIMITED,0.404999999999999,311.690317224732,0.996314789045504,1172.61,1155.91,0.985758265749056
17,20,2,526,1091.03701520913,1086.87,10.082720216392,-0.00451520912547529,24.9905570479805,2778.44,2.54660470842728,10.423,BOUNDARY_LIMITED,0.0419999999999998,595.850811989245,0.999465269140203,2778.44,2751.68,0.990368696102849
18,19,2,526,873.196520912547,871.285,10.0929004317477,-0.00454752851711027,24.9919864379854,2276.21,2.60675569071349,10.391,BOUNDARY_LIMITED,0.0960000000000001,554.665602864297,0.998589112480903,2276.21,2252.16,0.989434191045642
19,18,2,526,650.806235741445,651.445,10.1020383606993,-0.00430038022813688,24.989293041943,1797.26,2.7615900114301,10.461,BOUNDARY_LIMITED,0,478.308687754673,0.997057155601944,1797.26,1727.98,0.961452433148237
20,16,2,526,205.723060836502,205.76,10.1026284381874,-0.000574144486692015,24.9898836989699,681.54,3.31290034879295,8.463,RESOLVED,2.018,224.007042413318,0.989013094347931,681.54,656.71,0.963567802330017
21,20,2,526,1087.35954372624,1082.76,10.0793948264356,-0.000889733840304183,24.9928842366662,2734.48,2.51478916589935,10.477,BOUNDARY_LIMITED,0,583.026157603895,0.999507458509476,2734.48,2690.91,0.984066440420116
22,17,2,527,428.514440227704,429.64,10.0915771759956,-0.00406831119544592,24.9946738938338,1261.88,2.94477824208086,10.189,BOUNDARY_LIMITED,0.308999999999999,367.596963553127,0.993818044585187,1261.88,1188.14,0.941563381621073
23,24,2,526,871.928003802281,872.33,10.104751614196,1.99530038022814,24.9913367152559,2265.81,2.5986205169685,10.162,BOUNDARY_LIMITED,0.318,530.796832651652,0.99913108492734,2265.81,2180.22,0.962225429316668
24,23,2,526,661.507870722433,661.76,10.1047157683673,1.99404942965779,24.9957075772545,1794.8,2.71319523082907,10.119,BOUNDARY_LIMITED,0.347,463.007822084573,0.99804283647426,1794.8,1689.93,0.941570091375084
25,21,2,526,214.336863117871,215,10.1022313767,1.99503041825095,24.9912422101316,686.63,3.20350867327194,9.359,RESOLVED,1.083,220.607533300106,0.990958069723731,686.63,672.28,0.97910082577225
26,25,2,526,1097.78279467681,1091.935,10.0972791375941,1.9901825095057,24.9889150214459,2712.87,2.47122656062276,10.481,BOUNDARY_LIMITED,0,565.092114284384,0.999427598608895,2712.87,2637.01,0.972036994032151
27,22,2,526,437.653307984791,438.595,10.1082314169531,1.99025475285171,24.9895883704565,1252.03,2.86078038748312,10.176,BOUNDARY_LIMITED,0.295,355.647560808143,0.996005741021116,1252.03,1189.39,0.949969249938101
28,29,2,527,880.65660341556,879.14,10.1030673573057,3.99273624288425,24.9942140555701,2210.84,2.51044503774278,10.426,BOUNDARY_LIMITED,0.0730000000000004,486.910303455118,0.998150717350643,2210.84,2112.51,0.955523692352228
29,28,2,527,669.600872865275,668.97,10.1213470661107,3.98990891840607,24.9953931280412,1692.15,2.52710244053171,8.434,RESOLVED,2.062,417.85060849149,0.997839383851134,1692.15,1627.9,0.96203055284697
30,26,2,525,219.886723809524,220,10.1125145339229,3.99217333333333,24.9947449750599,621.66,2.82718296598257,10.109,BOUNDARY_LIMITED,0.340999999999999,185.06328150007,0.993507105805329,621.66,605.94,0.974712865553518
31,30,2,526,1104.84355513308,1100.765,10.0951476894712,3.98971673003803,24.99296692865,2654.96,2.40301895020803,10.167,BOUNDARY_LIMITED,0.313000000000001,531.159021453519,0.998994568656135,2654.96,2561.62,0.964843161478892
32,27,2,526,446.741064638783,446.78,10.1082010858672,3.9926349809886,24.9925180293096,1174.39,2.62879348454247,8.244,RESOLVED,2.234,317.659767617178,0.996867149679546,1174.39,1127.92,0.960430521377055
33,50,2,526,1088.04711026616,1084.83,14.088191022082,-0.00476235741444867,24.9895765573159,2594.34,2.38440043222519,10.448,BOUNDARY_LIMITED,0,583.506872587092,0.997934503398825,2594.34,2496.28,0.96220233277057
34,49,2,526,870.213346007605,870.44,14.1004447807605,-0.00432699619771863,24.9930023680716,2121.53,2.43794238474189,10.304,BOUNDARY_LIMITED,0.173,510.913475608055,0.996696316512019,2121.53,2025.24,0.954612944431613
35,48,2,525,649.047104761905,649.71,14.1059449279539,-0.00469333333333334,24.9946502899259,1640.51,2.52756693306844,10.065,BOUNDARY_LIMITED,0.377000000000001,418.92123417071,0.994090436154977,1640.51,1551.49,0.945736386855307
36,46,2,526,209.329410646388,209.17,14.0842066203515,-5.13307984790875e-05,24.992636160715,649.78,3.10410275361473,9.196,RESOLVED,1.29,199.888614558877,0.989665869198836,649.78,604.9,0.930930468774047
37,50,2,527,1083.93721062619,1081.01,14.1017137523974,-0.00178937381404175,24.9943437535419,2568.77,2.36985129287704,10.455,BOUNDARY_LIMITED,0.0350000000000001,574.760786216449,0.997686921811954,2568.77,2454.14,0.955375529922881
38,47,2,526,428.457186311787,428.58,14.0901046378612,-0.00126996197718631,24.9947152734495,1147.93,2.67921751968155,10.052,BOUNDARY_LIMITED,0.424000000000001,317.36653357766,0.993082765908988,1147.93,1069.87,0.931999337938724
39,54,2,526,870.626254752852,871.2,14.1026892811125,1.99393536121673,24.9933567622877,2120.83,2.43598213173809,10.155,BOUNDARY_LIMITED,0.317,502.505639473205,0.997710461128262,2120.83,1990.05,0.938335463002692
40,53,2,526,659.623840304183,660.425,14.1131810794409,1.99303422053232,24.9970897146974,1662.49,2.52036069410916,10.466,BOUNDARY_LIMITED,0,422.140592380899,0.996698188200921,1662.49,1544.84,0.929232657038539
41,51,2,526,211.675817490494,211.685,14.1027278843126,1.99573384030418,24.994089177001,645.44,3.04919101129247,-7.651,RESOLVED,2.828,197.802638758042,0.988337553736796,629.46,645.44,0.975241695587506
42,55,2,526,1095.77268060836,1098.24,14.0900853362611,1.99313498098859,24.9938292879092,2580.42,2.35488623294329,10.396,BOUNDARY_LIMITED,0.103,570.05718475654,0.998578069579615,2580.42,2432.59,0.942710876523977
43,52,2,526,436.993288973384,437.535,14.11576473648,1.99267300380228,24.9911358918668,1176.28,2.69175758456932,10.162,BOUNDARY_LIMITED,0.328999999999999,317.770984623605,0.99359031405237,1176.28,1136.49,0.966173020029245
44,59,2,526,878.750209125475,879.08,14.0850090154404,3.99188403041825,24.9942663741091,2097.33,2.38671920441105,10.471,BOUNDARY_LIMITED,0,470.035488072188,0.998262171050549,2097.33,1941.44,0.925672164132492
45,58,2,526,668.832585551331,669.235,14.0969429190319,3.98862547528517,24.9938765404713,1638.55,2.44986568447366,10.268,BOUNDARY_LIMITED,0.224,394.542700471169,0.997440130477464,1638.55,1512.33,0.922968478227701
46,56,2,526,217.75108365019,217.045,14.1010403729915,3.99256273764259,24.9925652818718,612.13,2.81114559679237,-8.147,RESOLVED,2.319,178.017996530313,0.989922884486849,598.57,612.13,0.977847842778495
47,60,2,526,1106.31435361217,1106.045,14.0874410170503,3.99210266159696,24.9941836821253,2522.39,2.27999392014058,10.243,BOUNDARY_LIMITED,0.215,534.695020278356,0.998718888429883,2522.39,2367.88,0.938744603332554
48,57,2,526,443.993117870722,444.72,14.1073602683315,3.98905703422053,24.9960855977517,1131.88,2.54931879446287,10.412,BOUNDARY_LIMITED,0.0739999999999998,297.730878250966,0.995147789656743,1131.88,1066.9,0.942591087394423
49,5,4,527,1084.29400379507,1075.96,8.10033838745533,-0.00198102466793169,24.9865972474072,2661.4,2.45450033910084,10.231,BOUNDARY_LIMITED,0.263,533.481901999212,0.999677226524241,2661.4,2592.11,0.973964830540317
50,4,4,526,869.325475285171,864.22,8.10267108706798,-0.000925855513307985,24.9898482595483,2255.84,2.59493143147565,10.441,BOUNDARY_LIMITED,0.0379999999999985,498.449432419173,0.999511686258846,2255.84,2219.58,0.983926164976239
51,3,4,526,647.314600760456,645.215,8.10157365323494,-0.00234030418250951,24.9882771118569,1761.31,2.72094897586249,9.829,BOUNDARY_LIMITED,0.641999999999999,444.399089243717,0.998696206030814,1761.31,1744.77,0.990609262423991
52,1,4,526,204.059125475285,204.88,8.10620052251093,-0.000361216730038022,24.9863751962305,753.31,3.69162613161957,7.524,RESOLVED,2.943,227.075902014176,0.992273841867135,753.31,706.98,0.938498095073741
53,5,4,526,1087.07828897338,1077.76,8.10002952522865,0.00226996197718631,24.9877455205327,2685.17,2.47007968720985,10.025,BOUNDARY_LIMITED,0.436,517.172742821316,0.999555582001261,2685.17,2629.33,0.979204296189813
54,2,4,526,425.416711026616,425.31,8.09656902407169,0.00246958174904943,24.9885842535108,1279.93,3.00865002907683,9.643,RESOLVED,0.846,355.314729040545,0.996818682737697,1279.93,1241.91,0.970295250521513
55,9,4,526,868.869239543726,864.09,8.10159019746358,1.9946102661597,24.9863633830899,2232.25,2.56914377722962,10.325,BOUNDARY_LIMITED,0.164000000000001,488.230663392833,0.999514740666631,2232.25,2177.69,0.975558293201926
56,8,4,525,659.33220952381,658.67,8.10940800726457,1.99247619047619,24.9889455105991,1769.99,2.68451923693875,10.141,BOUNDARY_LIMITED,0.298,438.922211673424,0.999170219016859,1769.99,1712.18,0.967338798524286
57,6,4,526,211.230608365019,211.585,8.10459573233297,1.99397718631179,24.9887260111973,740.6,3.50612065993864,7.667,RESOLVED,2.821,228.095947379884,0.994047016497455,740.6,692.95,0.935660275452336
58,10,4,526,1092.90057034221,1082.205,8.11169872116191,1.99308745247148,24.9891985368187,2655.26,2.42955312866988,9.973,BOUNDARY_LIMITED,0.526,509.8974030335,0.999717643892516,2655.26,2540.27,0.956693506473942
59,7,4,526,436.140285171103,438.305,8.10848086869165,1.99021482889734,24.9887614506189,1271.91,2.9162864409579,9.639,RESOLVED,0.851000000000001,352.180580906229,0.998080637046197,1271.91,1188,0.934028351062575
60,14,4,525,876.663847619048,872.14,8.10081072269643,3.99254476190476,24.9899988827154,2178.52,2.48501179319382,10.379,BOUNDARY_LIMITED,0.0850000000000009,459.733458459126,0.998848220908851,2178.52,2093.48,0.960964324403724
61,13,4,526,667.303783269962,667.615,8.10623085359677,3.99197718631179,24.9912776495532,1711.7,2.56509859963962,8.87,RESOLVED,1.62,407.522371665928,0.998463994198998,1711.7,1619.37,0.9460594730385
62,11,4,526,216.718288973384,217.53,8.10816377097607,3.99107414448669,24.9939828587362,636.09,2.93510069230069,7.841,RESOLVED,2.649,194.271377172209,0.995879937205584,636.09,598.15,0.94035435237152
63,15,4,525,1099.84666666667,1087.66,8.09030446523735,3.9926780952381,24.990993076623,2601.79,2.36559338574468,10.429,BOUNDARY_LIMITED,0.0359999999999996,486.198231669898,0.999070079852969,2601.79,2459.35,0.945253075767068
64,12,4,527,443.380910815939,443.15,8.1065086836223,3.99266034155598,24.9877645291535,1190.87,2.68588468955166,9.677,RESOLVED,0.82,320.729020757557,0.998389719114671,1190.87,1098.41,0.922359283549002
65,35,4,526,1084.38159695817,1081.315,12.0894579438819,-0.00174334600760456,24.9909586947587,2477.38,2.28460166324231,10.26,BOUNDARY_LIMITED,0.228,561.934600235178,0.998881095623378,2477.38,2431.88,0.981633822828956
66,34,4,526,869.575456273764,868.76,12.0900176902841,-0.00192585551330798,24.989930951532,2018.47,2.32121316837689,10.078,BOUNDARY_LIMITED,0.406000000000001,503.67537555521,0.997746107408178,2018.47,1990.93,0.986356002318588
67,33,4,526,647.729201520913,647.205,12.0978706841447,-0.0011787072243346,24.9914902860829,1596.5,2.46476459028141,10.196,BOUNDARY_LIMITED,0.271000000000001,421.444419685833,0.996337419730611,1596.5,1548.78,0.970109614782336
68,31,4,526,204.980760456274,206.385,12.1035867151394,-0.000785171102661597,24.9896356230186,664.95,3.2439629871597,8.853,RESOLVED,1.621,201.692113871001,0.990971602418437,664.95,613.66,0.922866380930897
69,35,4,527,1083.97719165085,1080.24,12.093769478695,-0.00174573055028463,24.98933269554,2438.16,2.24927241899507,10.482,BOUNDARY_LIMITED,0,553.29895780234,0.998782670729822,2438.16,2413.09,0.989717655937264
70,32,4,526,427.872946768061,428.71,12.0987089250624,-0.00572243346007605,24.9891749105377,1167.35,2.72826316507641,10.132,BOUNDARY_LIMITED,0.348000000000001,321.514221019119,0.9939452561142,1167.35,1106.9,0.948216044887994
71,39,4,525,866.578857142857,865.91,12.087105260031,1.99308190476191,24.9920819556646,2027.77,2.3399716982314,10.128,BOUNDARY_LIMITED,0.340999999999999,488.82050672131,0.99856074943516,2027.77,1954.53,0.963881505298924
72,38,4,526,658.880513307985,660.465,12.0943963961305,1.99198288973384,24.9924944030285,1635.58,2.48236207774363,10.367,BOUNDARY_LIMITED,0.126999999999999,420.256007507147,0.997706889560479,1635.58,1531.84,0.936572958828061
73,36,4,525,210.585542857143,210.93,12.0997000609134,1.99283238095238,24.9897148273133,656.29,3.11650073929916,8.27,RESOLVED,2.196,207.586441539419,0.990458773841129,656.29,652.89,0.994819363391184
74,40,4,526,1095.14701520913,1093.17,12.0880020517616,1.99428707224335,24.9906633662453,2471.64,2.25690246667752,10.076,BOUNDARY_LIMITED,0.411,542.402386480799,0.999134983894306,2471.64,2405.61,0.97328494440938
75,37,4,527,435.735654648956,437.35,12.0957592753626,1.99204364326376,24.9906296752582,1178.98,2.70572303969439,10.258,BOUNDARY_LIMITED,0.229000000000001,323.212279769892,0.995693121998733,1178.98,1107.07,0.939006598924494
76,44,4,527,876.047741935484,876.94,12.0961445748556,3.9917760910816,24.9897571616296,2028.07,2.31502223328527,10.458,BOUNDARY_LIMITED,0.020999999999999,459.128735830588,0.998626818577234,2028.07,1891.97,0.932891862706909
77,43,4,526,666.684144486692,667.88,12.1025471861066,3.99177186311787,24.9897655675645,1593.49,2.39017233749708,10.112,BOUNDARY_LIMITED,0.371,391.965956789142,0.998407253335819,1593.49,1458.24,0.915123408367796
78,41,4,526,216.505076045627,216.87,12.1192761586319,3.99122243346008,24.9894938653322,614.3,2.83734687065969,7.672,RESOLVED,2.794,186.412900267782,0.991427631025382,614.3,594.6,0.967930978349341
79,45,4,526,1102.59737642585,1100.695,12.1057154058909,3.99199809885932,24.9923762716232,2457.49,2.2288190163903,10.365,BOUNDARY_LIMITED,0.0790000000000006,515.255409053741,0.998775043428951,2457.49,2366.55,0.962994762949188
80,42,4,525,443.339752380952,444.22,12.1001945705335,3.99210285714286,24.988318221586,1121.98,2.53074531208721,10.442,BOUNDARY_LIMITED,0,303.040641863842,0.99650229606006,1121.98,1044.78,0.931193069395176
