Check,Pass,Detail
MODEL_19_PARAMETER_CONTRACT,1,"19 parameters"
PARAMETER_ORDER,1,"CMM 19-parameter order verified"
PRIMARY_RUN_ROUTING,1,"Primary database is Runs 2 + 4"
PRIMARY_SWEEP_COUNT,1,"80 / 80 sweeps"
FINITE_CANONICAL_PREDICTIONS,1,"42084 predictions finite"
FINITE_AUDIT_PREDICTIONS,1,"112448 predictions finite"
GLOBAL_R2_GATE,1,"R2 = 0.997156"
REFERENCE_R2_GATE,1,"R2 = 0.995966"
REFERENCE_RMSE_GATE,1,"RMSE = 108.034 N"
CANONICAL_R2_SANITY,0,"Canonical R2 = -2.968915"
REFERENCE_CONDITION_FZ,1,"Reference Fz = 871.53 N"
REFERENCE_CONDITION_PRESSURE,1,"Reference P = 12.089 psi"
REFERENCE_CONDITION_CAMBER,1,"Reference IA = -0.003 deg"
PEY3_PEY4_FIXED,1,"PEY3 = 0, PEY4 = 0"
NO_REFIT_PERFORMED,1,"Frozen coefficients evaluated only; no optimizer called"
NO_LONGITUDINAL_MODEL,1,"Pure lateral only"
FIGURES_WRITTEN,1,"10 engineering figures"
