Pressure_psi,FZ_N,IA_deg,Speed_mph,SweepType,SweepCount
12,260,0,15,SPEED_TEST_15MPH,1
12,470,0,15,SPEED_TEST_15MPH,1
12,670,0,15,SPEED_TEST_15MPH,1
12,873.52,0,15,SPEED_TEST_15MPH,1
12,1160,0,15,SPEED_TEST_15MPH,1
8,260,0,25,MAIN_CORNERING_PART_2,1
8,470,0,25,MAIN_CORNERING_PART_2,1
8,670,0,25,MAIN_CORNERING_PART_2,1
8,875.24,0,25,MAIN_CORNERING_PART_2,1
8,1160,0,25,MAIN_CORNERING_PART_2,2
8,260,2,25,MAIN_CORNERING_PART_2,1
8,470,2,25,MAIN_CORNERING_PART_2,1
8,670,2,25,MAIN_CORNERING_PART_2,1
8,871.915,2,25,MAIN_CORNERING_PART_2,1
8,1160,2,25,MAIN_CORNERING_PART_2,1
8,260,4,25,MAIN_CORNERING_PART_2,1
8,470,4,25,MAIN_CORNERING_PART_2,1
8,670,4,25,MAIN_CORNERING_PART_2,2
8,1160,4,25,MAIN_CORNERING_PART_2,1
10,220,0,25,MAIN_CORNERING_PART_1,1
10,470,0,25,MAIN_CORNERING_PART_1,1
10,670,0,25,MAIN_CORNERING_PART_1,1
10,882.77,0,25,MAIN_CORNERING_PART_1,1
10,1160,0,25,MAIN_CORNERING_PART_1,2
10,220,2,25,MAIN_CORNERING_PART_1,1
10,470,2,25,MAIN_CORNERING_PART_1,1
10,670,2,25,MAIN_CORNERING_PART_1,1
10,875.35,2,25,MAIN_CORNERING_PART_1,1
10,1160,2,25,MAIN_CORNERING_PART_1,1
10,220,4,25,MAIN_CORNERING_PART_1,1
10,470,4,25,MAIN_CORNERING_PART_1,1
10,670,4,25,MAIN_CORNERING_PART_1,1
10,880.3,4,25,MAIN_CORNERING_PART_1,1
10,1160,4,25,MAIN_CORNERING_PART_1,1
12,220,0,25,MAIN_CORNERING_PART_1,1
12,260,0,25,RUN4_12PSI_OR_REPEAT,1
12,470,0,25,MAIN_CORNERING_PART_1,1
12,470,0,25,RUN4_12PSI_OR_REPEAT,1
12,670,0,25,MAIN_CORNERING_PART_1,1
12,670,0,25,RUN4_12PSI_OR_REPEAT,1
12,877.76,0,25,RUN4_12PSI_OR_REPEAT,1
12,880.96,0,25,MAIN_CORNERING_PART_1,1
12,1160,0,25,MAIN_CORNERING_PART_1,2
12,1160,0,25,RUN4_12PSI_OR_REPEAT,2
12,220,2,25,MAIN_CORNERING_PART_1,1
12,260,2,25,RUN4_12PSI_OR_REPEAT,1
12,470,2,25,MAIN_CORNERING_PART_1,1
12,470,2,25,RUN4_12PSI_OR_REPEAT,1
12,670,2,25,MAIN_CORNERING_PART_1,1
12,670,2,25,RUN4_12PSI_OR_REPEAT,1
12,871.05,2,25,RUN4_12PSI_OR_REPEAT,1
12,874.82,2,25,MAIN_CORNERING_PART_1,1
12,1160,2,25,MAIN_CORNERING_PART_1,1
12,1160,2,25,RUN4_12PSI_OR_REPEAT,1
12,220,4,25,MAIN_CORNERING_PART_1,1
12,260,4,25,RUN4_12PSI_OR_REPEAT,1
12,470,4,25,MAIN_CORNERING_PART_1,1
12,470,4,25,RUN4_12PSI_OR_REPEAT,1
12,670,4,25,MAIN_CORNERING_PART_1,1
12,670,4,25,RUN4_12PSI_OR_REPEAT,1
12,878.17,4,25,RUN4_12PSI_OR_REPEAT,1
12,882.03,4,25,MAIN_CORNERING_PART_1,1
12,1160,4,25,MAIN_CORNERING_PART_1,1
12,1160,4,25,RUN4_12PSI_OR_REPEAT,1
14,220,0,25,MAIN_CORNERING_PART_1,1
14,470,0,25,MAIN_CORNERING_PART_1,1
14,670,0,25,MAIN_CORNERING_PART_1,1
14,880.02,0,25,MAIN_CORNERING_PART_1,1
14,1160,0,25,MAIN_CORNERING_PART_1,2
14,220,2,25,MAIN_CORNERING_PART_1,1
14,470,2,25,MAIN_CORNERING_PART_1,1
14,670,2,25,MAIN_CORNERING_PART_1,1
14,873.99,2,25,MAIN_CORNERING_PART_1,1
14,1160,2,25,MAIN_CORNERING_PART_1,1
14,220,4,25,MAIN_CORNERING_PART_1,1
14,470,4,25,MAIN_CORNERING_PART_1,1
14,670,4,25,MAIN_CORNERING_PART_1,1
14,879.4,4,25,MAIN_CORNERING_PART_1,1
14,1160,4,25,MAIN_CORNERING_PART_1,1
12,260,0,45,SPEED_TEST_45MPH,1
12,470,0,45,SPEED_TEST_45MPH,1
12,670,0,45,SPEED_TEST_45MPH,1
12,865.545,0,45,SPEED_TEST_45MPH,1
12,1160,0,45,SPEED_TEST_45MPH,1
