SweepID,RunNumber,FileName,RegionID,StartTime_s,EndTime_s,Duration_s,SampleCount,Pressure_psi,FZ_N,IA_deg,Speed_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,Direction,SweepType
1,2,B1965run2.mat,1,278.54,290.53,11.99,1200,12,1160,0,25,-12.202,12.213,-2728.75,2596.24,POS_TO_NEG,MAIN_CORNERING_PART_1
2,2,B1965run2.mat,2,312.33,324.33,12,1201,12,880.96,0,25,-12.178,12.193,-2272.02,2145.23,POS_TO_NEG,MAIN_CORNERING_PART_1
3,2,B1965run2.mat,3,346.12,358.12,12,1201,12,670,0,25,-12.166,12.159,-1754.51,1668.54,POS_TO_NEG,MAIN_CORNERING_PART_1
4,2,B1965run2.mat,4,379.9,391.9,12,1201,12,220,0,25,-12.071,12.06,-671.06,638.84,POS_TO_NEG,MAIN_CORNERING_PART_1
5,2,B1965run2.mat,5,413.73,425.73,12,1201,12,1160,0,25,-12.185,12.219,-2778.61,2608.62,POS_TO_NEG,MAIN_CORNERING_PART_1
6,2,B1965run2.mat,6,447.51,459.52,12.01,1202,12,470,0,25,-12.113,12.143,-1229.12,1160.76,POS_TO_NEG,MAIN_CORNERING_PART_1
7,2,B1965run2.mat,7,481.33,493.33,12,1201,12,874.82,2,25,-12.161,12.205,-2272.32,2122.3,POS_TO_NEG,MAIN_CORNERING_PART_1
8,2,B1965run2.mat,8,515.119,527.129,12.01,1202,12,670,2,25,-12.14,12.193,-1767.13,1662.19,POS_TO_NEG,MAIN_CORNERING_PART_1
9,2,B1965run2.mat,9,548.899,560.888,11.989,1200,12,220,2,25,-12.044,12.09,-662.5,692.11,POS_TO_NEG,MAIN_CORNERING_PART_1
10,2,B1965run2.mat,10,582.738,594.727,11.9889999999999,1200,12,1160,2,25,-12.205,12.208,-2770.48,2604.85,POS_TO_NEG,MAIN_CORNERING_PART_1
11,2,B1965run2.mat,11,616.507,628.507,12,1201,12,470,2,25,-12.107,12.157,-1225.46,1188.67,POS_TO_NEG,MAIN_CORNERING_PART_1
12,2,B1965run2.mat,12,650.326,662.316,11.99,1200,12,882.03,4,25,-12.15,12.202,-2246.4,2096.17,POS_TO_NEG,MAIN_CORNERING_PART_1
13,2,B1965run2.mat,13,684.115,696.105,11.99,1200,12,670,4,25,-12.099,12.191,-1735.84,1647.25,POS_TO_NEG,MAIN_CORNERING_PART_1
14,2,B1965run2.mat,14,717.884,729.894,12.01,1202,12,220,4,25,-12.042,12.107,-613.81,641.43,POS_TO_NEG,MAIN_CORNERING_PART_1
15,2,B1965run2.mat,15,751.734,763.723,11.9889999999999,1200,12,1160,4,25,-12.173,12.213,-2728.57,2549.54,POS_TO_NEG,MAIN_CORNERING_PART_1
16,2,B1965run2.mat,16,785.503,797.502,11.9989999999999,1201,12,470,4,25,-12.041,12.144,-1181.31,1155.91,POS_TO_NEG,MAIN_CORNERING_PART_1
17,2,B1965run2.mat,17,885.63,897.63,12,1201,10,1160,0,25,-12.22,12.214,-2881.76,2751.68,POS_TO_NEG,MAIN_CORNERING_PART_1
18,2,B1965run2.mat,18,919.419,931.419,12,1201,10,882.77,0,25,-12.191,12.22,-2360.29,2252.16,POS_TO_NEG,MAIN_CORNERING_PART_1
19,2,B1965run2.mat,19,953.219,965.218,11.9989999999999,1201,10,670,0,25,-12.162,12.207,-1824.93,1729.28,POS_TO_NEG,MAIN_CORNERING_PART_1
20,2,B1965run2.mat,20,986.998,998.987,11.9889999999999,1200,10,220,0,25,-12.064,12.107,-686.56,656.71,POS_TO_NEG,MAIN_CORNERING_PART_1
21,2,B1965run2.mat,21,1020.827,1032.816,11.989,1200,10,1160,0,25,-12.216,12.216,-2838.99,2690.91,POS_TO_NEG,MAIN_CORNERING_PART_1
22,2,B1965run2.mat,22,1054.604,1066.604,12,1201,10,470,0,25,-12.117,12.171,-1274.69,1192.72,POS_TO_NEG,MAIN_CORNERING_PART_1
23,2,B1965run2.mat,23,1088.412,1100.411,11.999,1201,10,875.35,2,25,-12.197,12.234,-2342.9,2180.22,POS_TO_NEG,MAIN_CORNERING_PART_1
24,2,B1965run2.mat,24,1122.21,1134.199,11.989,1200,10,670,2,25,-12.156,12.22,-1822.3,1689.93,POS_TO_NEG,MAIN_CORNERING_PART_1
25,2,B1965run2.mat,25,1155.977,1167.976,11.999,1201,10,220,2,25,-12.052,12.133,-686.63,672.28,POS_TO_NEG,MAIN_CORNERING_PART_1
26,2,B1965run2.mat,26,1189.815,1201.814,11.999,1201,10,1160,2,25,-12.21,12.216,-2828.21,2637.01,POS_TO_NEG,MAIN_CORNERING_PART_1
27,2,B1965run2.mat,27,1223.582,1235.581,11.9989999999998,1201,10,470,2,25,-12.098,12.173,-1261.04,1189.39,POS_TO_NEG,MAIN_CORNERING_PART_1
