FullSweepID,Stage2RegionID,RunNumber,Stage2SweepType,Direction,PositivePeakSA_deg,NegativePeakSA_deg,RawCentralSpan_deg,StartTime_s,EndTime_s,Duration_s,SampleCount,SA_Start_deg,SA_End_deg,SA_Min_deg,SA_Max_deg,SA_Range_deg,FY_Min_N,FY_Max_N,FY_Range_N,Stage2Pressure_psi,Stage2FZ_N,Stage2IA_deg,Stage2Speed_mph,P_Mean_kPa,P_Mean_psi,P_Std_kPa,FZ_Mean_N,FZ_Median_N,FZ_Std_N,FZ_Min_N,FZ_Max_N,FZ_RelativeRange,IA_Mean_deg,IA_Median_deg,IA_Std_deg,V_Mean_kph,V_Mean_mph,V_Std_kph,MaxAbsSL,FreeRollingFraction,MonotonicFraction,QC_SampleCount,QC_Duration,QC_SACoverage,QC_FYRange,QC_Monotonicity,QC_Pressure,QC_IA,QC_Speed,QC_FreeRolling,QC_FZ,QCPass,ModelRouting,RejectionReason
1,1,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9848571428571,-11.9604761904762,23.9453333333333,281.91,287.16,5.25,526,10.483,-10.494,-10.494,10.483,20.977,-2646.83,2596.24,5243.07,12,1160,0,25,83.372680608365,12.0921849842358,0.674220425086782,1085.10939163498,1081.305,25.815095473305,1035.13,1133.44,0.0909179186261045,-0.00104372623574144,0,0.010366061317182,40.2158174904943,24.9889504608675,0.0588136440128593,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
2,2,2,MAIN_CORNERING_PART_1,POS_TO_NEG,12.018619047619,-11.9268571428571,23.9454761904762,315.7,320.96,5.25999999999999,527,10.497,-10.483,-10.483,10.497,20.98,-2212.9,2141.8,4354.7,12,880.96,0,25,83.3389373814042,12.0872909429336,0.614506517727853,873.483036053131,873.47,19.5905372877094,831.28,912.17,0.0926076453684729,-0.00435673624288425,-0.004,0.0103078962669068,40.2174762808349,24.9899811853991,0.0567755813854412,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
3,3,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9682857142857,-11.9129523809524,23.8812380952381,349.5,354.75,5.25,526,10.478,-10.476,-10.476,10.478,20.954,-1725.3,1653.49,3378.79,12,670,0,25,83.4460266159696,12.1028229232506,0.608398358889769,652.245038022814,652.85,15.6919652931192,607.89,685.43,0.118771540170024,-0.00404942965779468,-0.003,0.0109439015267167,40.2130228136882,24.9872139292085,0.046522779391969,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
4,4,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9012857142857,-11.9040952380952,23.805380952381,383.27,388.52,5.25,526,10.498,-10.462,-10.462,10.498,20.96,-667.44,638.84,1306.28,12,220,0,25,83.3966159695817,12.0956565148785,0.553673750293017,207.469505703422,207.345,14.2625737122745,172.61,243.6,0.342376232848634,-0.000231939163498099,0,0.011241394882271,40.2122623574144,24.9867414035871,0.0450821006540781,0,1,0.998080614203455,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
5,5,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9605714285714,-12.0082857142857,23.9688571428571,417.11,422.36,5.25,526,10.481,-10.49,-10.49,10.481,20.971,-2653.82,2608.62,5262.44,12,1160,0,25,83.3635931558936,12.0908669606876,0.737245980706138,1089.35992395437,1084.74,26.571676327461,1041.32,1141.9,0.0927226800892381,0.000444866920152091,0,0.0101439074973892,40.2161977186312,24.9891867236782,0.0452084155095123,0,1,0.998091603053435,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
6,6,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9307142857143,-11.9613333333333,23.8920476190476,450.89,456.14,5.25,526,10.462,-10.486,-10.486,10.462,20.948,-1201,1157.14,2358.14,12,470,0,25,83.3885171102662,12.0944818746452,0.547787660192399,428.583041825095,428.81,14.6025137779232,388.76,465.46,0.178867097315828,0.00344486692015209,0.004,0.0107671370506728,40.2144296577947,24.9880881016083,0.0480551052208551,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
7,7,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9652857142857,-11.9611428571429,23.9264285714286,484.71,489.96,5.25,526,10.493,-10.472,-10.472,10.493,20.965,-2200.28,2121.06,4321.34,12,874.82,2,25,83.4799809885932,12.1077475886421,0.715868702792543,872.61030418251,873.06,15.1048359176051,825.98,904.78,0.0902572560877831,1.99527376425856,1.995,0.00990666711018083,40.2144106463878,24.9880762884677,0.0520396790074694,0,1,0.996175908221797,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
8,8,2,MAIN_CORNERING_PART_1,POS_TO_NEG,12.0750476190476,-11.9165714285714,23.9916190476191,518.499,523.749,5.25,526,10.475,-10.481,-10.481,10.475,20.956,-1724.84,1660.86,3385.7,12,670,2,25,83.4257984790875,12.0998890800386,0.608307902360205,662.924771863118,663.265,15.3398427211546,610.74,697.52,0.130837598848122,1.9933288973384,1.994,0.0105297854869351,40.2176425855513,24.990084522359,0.0528840025515623,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
9,9,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9151904761905,-11.8776666666667,23.7928571428571,552.279,557.528,5.24900000000002,526,10.464,-10.491,-10.491,10.464,20.955,-662.5,692.11,1354.61,12,220,2,25,83.4956844106464,12.1100251774514,0.666468308984245,215.959372623574,215.995,17.1979112293693,176.17,262.63,0.400287043681567,1.99018060836502,1.989,0.0113348885940141,40.2162547528517,24.9892221630998,0.0491047832626533,0,1,0.996146435452794,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
10,10,2,MAIN_CORNERING_PART_1,POS_TO_NEG,12.0097619047619,-11.9685714285714,23.9783333333333,586.108,591.358,5.25,526,10.481,-10.477,-10.477,10.481,20.958,-2652.68,2604.85,5257.53,12,1160,2,25,83.4106463878327,12.0976914550011,0.813888234082177,1098.99950570342,1099.045,21.0497799410048,1053.62,1142.88,0.0812159647694136,1.99088212927757,1.991,0.0106592854236696,40.2172433460076,24.9898364464077,0.0503001060627689,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
11,11,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9365714285714,-11.8831904761905,23.8197619047619,619.887,625.147,5.2600000000001,527,10.493,-10.492,-10.492,10.493,20.985,-1211.36,1188.67,2400.03,12,470,2,25,83.3194307400379,12.084461743799,0.695095569135613,437.53935483871,437.98,17.0619786417733,387.5,484.9,0.222384583770948,1.99456356736243,1.994,0.0109722793204271,40.2156356736243,24.9888374851022,0.0488841660535662,0,1,0.99618320610687,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
