Pressure_psi,FZ_ReportBin_N,IA_deg,SweepCount,MeanMeasuredFZ_N
8,200,-0,1,204.88
8,450,0,1,425.31
8,650,-0,1,645.215
8,850,-0,1,864.22
8,1100,-0,2,1076.86
8,200,2,1,211.585
8,450,2,1,438.305
8,650,2,1,658.67
8,850,2,1,864.09
8,1100,2,1,1082.205
8,200,4,1,217.53
8,450,4,1,443.15
8,650,4,1,667.615
8,850,4,1,872.14
8,1100,4,1,1087.66
10,200,-0,1,205.76
10,450,-0,1,429.64
10,650,-0,1,651.445
10,850,-0,1,871.285
10,1100,-0,2,1084.815
10,200,2,1,215
10,450,2,1,438.595
10,650,2,1,661.76
10,850,2,1,872.33
10,1100,2,1,1091.935
10,200,4,1,220
10,450,4,1,446.78
10,650,4,1,668.97
10,900,4,1,879.14
10,1100,4,1,1100.765
12,200,-0,2,206.865
12,450,0,2,428.76
12,650,-0,2,650.0275
12,850,-0,2,871.115
12,1100,-0,4,1081.9
12,200,2,2,213.4625
12,450,2,2,437.665
12,650,2,2,661.865
12,850,2,2,869.485
12,1100,2,2,1096.1075
12,200,4,2,218.525
12,450,4,2,445.53
12,650,4,2,669.455
12,900,4,2,878.8
12,1100,4,2,1103.0775
14,200,-0,1,209.17
14,450,-0,1,428.58
14,650,-0,1,649.71
14,850,-0,1,870.44
14,1100,-0,2,1082.92
14,200,2,1,211.685
14,450,2,1,437.535
14,650,2,1,660.425
14,850,2,1,871.2
14,1100,2,1,1098.24
14,200,4,1,217.045
14,450,4,1,444.72
14,650,4,1,669.235
14,900,4,1,879.08
14,1100,4,1,1106.045
