StructuralLegID,Stage2RegionID,RunNumber,Stage2SweepType,LegType,SampleCount,StartTime_s,EndTime_s,Duration_s,SA_Start_deg,SA_End_deg,SA_Min_deg,SA_Max_deg,SA_Range_deg,FZ_Mean_N,FZ_Median_N,P_Mean_kPa,IA_Mean_deg,V_Mean_kph
1,1,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,278.54,281.48,2.94,1.053,12.071,1.053,12.213,11.16,1085.34186440678,1086.17,83.7211186440678,-0.00174915254237288,40.2057288135593
2,1,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,281.48,287.73,6.25,12.071,-12.035,-12.202,12.071,24.273,1086.53474440895,1087.4,83.4714856230032,-0.00126837060702875,40.2136741214057
3,1,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,287.73,290.53,2.79999999999995,-12.035,-1.016,-12.035,-1.016,11.019,1108.74096085409,1107.15,83.0946619217082,-0.000747330960854093,40.2362277580071
4,2,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,312.33,315.27,2.94,1.026,12.092,1.026,12.193,11.167,878.324881355932,878.18,83.7073220338983,-0.00593559322033899,40.204
5,2,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,315.27,321.53,6.25999999999999,12.092,-12.035,-12.178,12.092,24.27,874.717416267943,875.87,83.3321690590112,-0.0043524720893142,40.2162360446571
6,2,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,321.53,324.33,2.80000000000001,-12.035,-1.04,-12.035,-1.04,10.995,890.819181494662,890.88,83.2402491103203,-0.00583629893238434,40.2254448398576
7,3,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,346.12,349.06,2.94,1.002,12.075,1.002,12.159,11.157,659.781186440678,658.31,83.5964745762712,-0.00363728813559322,40.2055593220339
8,3,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,349.06,355.31,6.25,12.075,-12.065,-12.166,12.075,24.241,653.188162939297,654.52,83.4669488817891,-0.00408626198083067,40.211821086262
9,3,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,355.31,358.12,2.81,-12.065,-1.038,-12.065,-1.038,11.027,662.515496453901,662.26,83.2508865248227,-0.00335815602836879,40.2159929078014
10,4,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,293,379.9,382.82,2.92000000000002,1.012,12.057,1.012,12.06,11.048,217.335699658703,216.67,83.5131058020478,-0.00137883959044369,40.2142320819113
