ConditionID,FZ_State_N,Pressure_State_psi,IA_State_deg,Speed_State_mph,SweepCount,SampleCount,MeasuredFZ_Mean_N,MeasuredFZ_Median_N,MeasuredPressure_Mean_psi,MeasuredIA_Mean_deg,MeasuredSpeed_Mean_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N
1,200,8,0,25,1,526,204.059125475285,204.88,8.10620052251093,-0.000361216730038022,24.9863751962305,-10.494,10.467,-753.31,706.98
2,450,8,0,25,1,526,425.416711026616,425.31,8.09656902407169,0.00246958174904943,24.9885842535108,-10.474,10.489,-1279.93,1241.91
3,650,8,-0,25,1,526,647.314600760456,645.215,8.10157365323494,-0.00234030418250951,24.9882771118569,-10.484,10.471,-1761.31,1744.77
4,850,8,0,25,1,526,869.325475285171,864.22,8.10267108706798,-0.000925855513307985,24.9898482595483,-10.48,10.479,-2255.84,2219.58
5,1100,8,-0,25,2,1053,1085.68482431149,1077.11,8.10018410300022,0.000142450142450142,24.987170838731,-10.494,10.494,-2685.17,2629.33
6,200,8,2,25,1,526,211.230608365019,211.585,8.10459573233297,1.99397718631179,24.9887260111973,-10.478,10.488,-740.6,692.95
7,450,8,2,25,1,526,436.140285171103,438.305,8.10848086869165,1.99021482889734,24.9887614506189,-10.485,10.49,-1271.91,1188
8,650,8,2,25,1,525,659.33220952381,658.67,8.10940800726457,1.99247619047619,24.9889455105991,-10.468,10.439,-1769.99,1712.18
9,850,8,2,25,1,526,868.869239543726,864.09,8.10159019746358,1.9946102661597,24.9863633830899,-10.457,10.489,-2232.25,2177.69
10,1100,8,2,25,1,526,1092.90057034221,1082.205,8.11169872116191,1.99308745247148,24.9891985368187,-10.472,10.499,-2655.26,2540.27
11,200,8,4,25,1,526,216.718288973384,217.53,8.10816377097607,3.99107414448669,24.9939828587362,-10.477,10.49,-636.09,598.15
12,450,8,4,25,1,527,443.380910815939,443.15,8.1065086836223,3.99266034155598,24.9877645291535,-10.482,10.497,-1190.87,1098.41
13,650,8,4,25,1,526,667.303783269962,667.615,8.10623085359677,3.99197718631179,24.9912776495532,-10.463,10.49,-1711.7,1619.37
14,850,8,4,25,1,525,876.663847619048,872.14,8.10081072269643,3.99254476190476,24.9899988827154,-10.459,10.464,-2178.52,2093.48
15,1100,8,4,25,1,525,1099.84666666667,1087.66,8.09030446523735,3.9926780952381,24.990993076623,-10.453,10.465,-2601.79,2459.35
16,200,10,0,25,1,526,205.723060836502,205.76,10.1026284381874,-0.000574144486692015,24.9898836989699,-10.477,10.481,-681.54,656.71
17,450,10,-0,25,1,527,428.514440227704,429.64,10.0915771759956,-0.00406831119544592,24.9946738938338,-10.48,10.498,-1261.88,1188.14
18,650,10,-0,25,1,526,650.806235741445,651.445,10.1020383606993,-0.00430038022813688,24.989293041943,-10.491,10.461,-1797.26,1727.98
19,850,10,-0,25,1,526,873.196520912547,871.285,10.0929004317477,-0.00454752851711027,24.9919864379854,-10.482,10.487,-2276.21,2252.16
20,1100,10,-0,25,2,1052,1089.19827946768,1085.3,10.0810575214138,-0.00270247148288974,24.9917206423233,-10.493,10.477,-2778.44,2751.68
21,200,10,2,25,1,526,214.336863117871,215,10.1022313767,1.99503041825095,24.9912422101316,-10.5,10.442,-686.63,672.28
22,450,10,2,25,1,526,437.653307984791,438.595,10.1082314169531,1.99025475285171,24.9895883704565,-10.486,10.471,-1252.03,1189.39
23,650,10,2,25,1,526,661.507870722433,661.76,10.1047157683673,1.99404942965779,24.9957075772545,-10.472,10.466,-1794.8,1689.93
24,850,10,2,25,1,526,871.928003802281,872.33,10.104751614196,1.99530038022814,24.9913367152559,-10.479,10.48,-2265.81,2180.22
25,1100,10,2,25,1,526,1097.78279467681,1091.935,10.0972791375941,1.9901825095057,24.9889150214459,-10.49,10.481,-2712.87,2637.01
26,200,10,4,25,1,525,219.886723809524,220,10.1125145339229,3.99217333333333,24.9947449750599,-10.449,10.45,-621.66,605.94
27,450,10,4,25,1,526,446.741064638783,446.78,10.1082010858672,3.9926349809886,24.9925180293096,-10.478,10.478,-1174.39,1127.92
28,650,10,4,25,1,527,669.600872865275,668.97,10.1213470661107,3.98990891840607,24.9953931280412,-10.496,10.496,-1692.15,1627.9
29,900,10,4,25,1,527,880.65660341556,879.14,10.1030673573057,3.99273624288425,24.9942140555701,-10.496,10.499,-2210.84,2112.51
30,1100,10,4,25,1,526,1104.84355513308,1100.765,10.0951476894712,3.98971673003803,24.99296692865,-10.493,10.48,-2654.96,2561.62
31,200,12,0,25,2,1052,206.225133079848,206.705,12.099621615009,-0.000508555133079848,24.9881885133028,-10.463,10.498,-667.44,638.84
32,450,12,0,25,2,1052,428.227994296578,428.77,12.0965953998538,-0.00113878326996198,24.988631506073,-10.496,10.48,-1201,1157.14
33,650,12,-0,25,2,1052,649.987119771863,650,12.1003468036976,-0.00261406844106464,24.9893521076457,-10.485,10.478,-1725.3,1653.49
34,850,12,-0,25,2,1053,871.531101614435,870,12.088653021857,-0.00314245014245014,24.9899560923183,-10.496,10.497,-2212.9,2141.8
35,1100,12,0,25,4,2105,1085.70620427553,1081.78,12.0915708868332,-0.00102232779097387,24.9896070133319,-10.5,10.488,-2653.82,2608.62
36,200,12,2,25,2,1051,213.275014272122,213.69,12.1048675312264,1.99150523311132,24.9894682608277,-10.491,10.466,-662.5,692.11
37,450,12,2,25,2,1054,436.637504743833,437.72,12.0901105095808,1.99330360531309,24.9897335801802,-10.493,10.493,-1211.36,1188.67
38,650,12,2,25,2,1052,660.902642585551,661.37,12.0971427380846,1.99265589353612,24.9912894626938,-10.489,10.494,-1724.84,1660.86
39,850,12,2,25,2,1051,869.597450047574,870.18,12.0974362446641,1.99417887725975,24.9900772164205,-10.472,10.493,-2200.28,2121.06
40,1100,12,2,25,2,1052,1097.07326045627,1095.765,12.0928467533814,1.99258460076046,24.9902499063265,-10.49,10.487,-2652.68,2604.85
41,200,12,4,25,2,1052,218.491254752852,219.145,12.113123084264,3.99178231939164,24.9889209280161,-10.491,10.475,-614.3,641.43
42,450,12,4,25,2,1051,444.69364414843,445.45,12.1012201978217,3.99223596574691,24.9896042412028,-10.493,10.495,-1172.61,1155.91
43,650,12,4,25,2,1052,668.890922053232,669.59,12.107856504814,3.99207034220532,24.9898718858293,-10.475,10.495,-1693.3,1647.25
44,900,12,4,25,2,1053,878.816020892688,879.01,12.0820967100658,3.99215479582146,24.9898085682935,-10.49,10.496,-2164.54,2096.17
45,1100,12,4,25,2,1053,1105.0100379867,1103.43,12.0991995931564,3.99064197530864,24.9911598883602,-10.486,10.493,-2618.07,2549.54
46,200,14,0,25,1,526,209.329410646388,209.17,14.0842066203515,-5.13307984790875e-05,24.992636160715,-10.476,10.486,-649.78,604.9
47,450,14,0,25,1,526,428.457186311787,428.58,14.0901046378612,-0.00126996197718631,24.9947152734495,-10.497,10.476,-1147.93,1069.87
48,650,14,-0,25,1,525,649.047104761905,649.71,14.1059449279539,-0.00469333333333334,24.9946502899259,-10.444,10.442,-1640.51,1551.49
49,850,14,-0,25,1,526,870.213346007605,870.44,14.1004447807605,-0.00432699619771863,24.9930023680716,-10.474,10.477,-2121.53,2025.24
50,1100,14,-0,25,2,1053,1085.99020892688,1082.59,14.0949588082892,-0.00327445394112061,24.9919624190549,-10.49,10.49,-2594.34,2496.28
