Pressure_psi,FZ_State_N,IA_deg,Speed_mph,SweepCount,SampleCount
8,200,-0,25,1,526
8,450,0,25,1,526
8,650,-0,25,1,526
8,850,-0,25,1,526
8,1100,-0,25,2,1053
8,200,2,25,1,526
8,450,2,25,1,526
8,650,2,25,1,525
8,850,2,25,1,526
8,1100,2,25,1,526
8,200,4,25,1,526
8,450,4,25,1,527
8,650,4,25,1,526
8,850,4,25,1,525
8,1100,4,25,1,525
10,200,-0,25,1,526
10,450,-0,25,1,527
10,650,-0,25,1,526
10,850,-0,25,1,526
10,1100,-0,25,2,1052
10,200,2,25,1,526
10,450,2,25,1,526
10,650,2,25,1,526
10,850,2,25,1,526
10,1100,2,25,1,526
10,200,4,25,1,525
10,450,4,25,1,526
10,650,4,25,1,527
10,900,4,25,1,527
10,1100,4,25,1,526
12,200,-0,25,2,1052
12,450,0,25,2,1052
12,650,-0,25,2,1052
12,850,-0,25,2,1053
12,1100,-0,25,4,2105
12,200,2,25,2,1051
12,450,2,25,2,1054
12,650,2,25,2,1052
12,850,2,25,2,1051
12,1100,2,25,2,1052
12,200,4,25,2,1052
12,450,4,25,2,1051
12,650,4,25,2,1052
12,900,4,25,2,1053
12,1100,4,25,2,1053
14,200,-0,25,1,526
14,450,-0,25,1,526
14,650,-0,25,1,525
14,850,-0,25,1,526
14,1100,-0,25,2,1053
14,200,2,25,1,526
14,450,2,25,1,526
14,650,2,25,1,526
14,850,2,25,1,526
14,1100,2,25,1,526
14,200,4,25,1,526
14,450,4,25,1,526
14,650,4,25,1,526
14,900,4,25,1,526
14,1100,4,25,1,526
