SampleID,SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ET_s,SA_deg,FY_N,FZ_N,IA_deg,P_kPa,P_psi,V_kph,V_mph,FZ_State_N,Pressure_State_psi,IA_State_deg,Speed_State_mph,ConditionID,Routing,ModelName
1,1,1,1,2,281.91,10.483,-2646.83,1114.68,0.003,83.98,12.1802692148804,40.23,24.9977630637079,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
2,1,1,1,2,281.92,10.429,-2641.88,1112.9,-0.012,83.72,12.1425594030696,40.21,24.9853356398632,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
3,1,1,1,2,281.93,10.391,-2634.18,1109.63,-0.016,83.27,12.0772924210894,40.2,24.9791219279408,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
4,1,1,1,2,281.94,10.362,-2627.89,1105.47,-0.018,83.12,12.0555367604294,40.18,24.9666945040961,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
5,1,1,1,2,281.95,10.303,-2625.95,1103.34,0.013,83.47,12.1062999686362,40.17,24.9604807921737,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
6,1,1,1,2,281.96,10.268,-2620.43,1100.2,0.016,84.03,12.1875211017671,40.16,24.9542670802513,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
7,1,1,1,2,281.97,10.226,-2609.96,1097.69,-0.002,84.28,12.2237805362005,40.19,24.9729082160184,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
8,1,1,1,2,281.98,10.202,-2602.53,1093.52,0.017,84.03,12.1875211017671,40.18,24.9666945040961,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
9,1,1,1,2,281.99,10.154,-2600.98,1090.64,-0.019,83.52,12.1135518555229,40.19,24.9729082160184,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
10,1,1,1,2,282,10.113,-2609.39,1096.72,-0.01,83.57,12.1208037424096,40.18,24.9666945040961,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
11,1,1,1,2,282.01,10.084,-2620.57,1106.12,0.004,83.93,12.1730173279937,40.17,24.9604807921737,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
12,1,1,1,2,282.02,10.024,-2628.91,1114.08,0.004,84.43,12.2455361968606,40.16,24.9542670802513,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
13,1,1,1,2,282.03,9.984,-2628.95,1117.7,0.013,84.43,12.2455361968606,40.17,24.9604807921737,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
14,1,1,1,2,282.04,9.955,-2623.32,1119.35,0.006,84.03,12.1875211017671,40.19,24.9729082160184,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
15,1,1,1,2,282.05,9.908,-2619.77,1112.46,0.001,83.67,12.1353075161829,40.2,24.9791219279408,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
16,1,1,1,2,282.06,9.888,-2619.71,1106.62,0.003,83.72,12.1425594030696,40.22,24.9915493517856,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
17,1,1,1,2,282.07,9.826,-2617.51,1102.21,-0.013,84.23,12.2165286493138,40.24,25.0039767756303,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
