SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ConditionID,SampleCount,ET_Start_s,ET_End_s,SA_Min_deg,SA_Max_deg,FZ_Mean_N,FZ_Median_N,FZ_Std_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,Routing
1,1,1,2,35,526,281.91,287.16,-10.494,10.483,1085.10939163498,1081.305,25.815095473305,12.0921849842358,-0.00104372623574144,24.9889504608675,PRIMARY_MODEL_FIT
2,2,2,2,34,527,315.7,320.96,-10.483,10.497,873.483036053131,873.47,19.5905372877094,12.0872909429336,-0.00435673624288425,24.9899811853991,PRIMARY_MODEL_FIT
3,3,3,2,33,526,349.5,354.75,-10.476,10.478,652.245038022814,652.85,15.6919652931192,12.1028229232506,-0.00404942965779468,24.9872139292086,PRIMARY_MODEL_FIT
4,4,4,2,31,526,383.27,388.52,-10.462,10.498,207.469505703422,207.345,14.2625737122745,12.0956565148785,-0.000231939163498099,24.9867414035871,PRIMARY_MODEL_FIT
5,5,5,2,35,526,417.11,422.36,-10.49,10.481,1089.35992395437,1084.74,26.571676327461,12.0908669606876,0.000444866920152091,24.9891867236782,PRIMARY_MODEL_FIT
6,6,6,2,32,526,450.89,456.14,-10.486,10.462,428.583041825095,428.81,14.6025137779232,12.0944818746452,0.00344486692015209,24.9880881016083,PRIMARY_MODEL_FIT
7,7,7,2,39,526,484.71,489.96,-10.472,10.493,872.61030418251,873.06,15.1048359176051,12.1077475886421,1.99527376425856,24.9880762884678,PRIMARY_MODEL_FIT
8,8,8,2,38,526,518.499,523.749,-10.481,10.475,662.924771863118,663.265,15.3398427211546,12.0998890800386,1.9933288973384,24.990084522359,PRIMARY_MODEL_FIT
9,9,9,2,36,526,552.279,557.528,-10.491,10.464,215.959372623574,215.995,17.1979112293693,12.1100251774514,1.99018060836502,24.9892221630998,PRIMARY_MODEL_FIT
10,10,10,2,40,526,586.108,591.358,-10.477,10.481,1098.99950570342,1099.045,21.0497799410048,12.0976914550011,1.99088212927757,24.9898364464077,PRIMARY_MODEL_FIT
11,11,11,2,37,527,619.887,625.147,-10.492,10.493,437.53935483871,437.98,17.0619786417733,12.084461743799,1.99456356736243,24.9888374851022,PRIMARY_MODEL_FIT
12,12,12,2,44,526,653.696,658.946,-10.452,10.496,881.589562737643,880.66,12.9029123474715,12.0680221383088,3.99253422053232,24.9898600726888,PRIMARY_MODEL_FIT
13,13,13,2,43,526,687.495,692.745,-10.475,10.495,671.097699619772,671.03,14.1273243998349,12.1131658235213,3.99236882129278,24.9899782040942,PRIMARY_MODEL_FIT
14,14,14,2,41,526,721.274,726.524,-10.469,10.475,220.477433460076,220.18,15.6850530144782,12.1069700098961,3.9923422053232,24.9883479907001,PRIMARY_MODEL_FIT
15,15,15,2,45,527,755.093,760.353,-10.486,10.493,1107.41812144212,1105.46,18.6518027365621,12.092696144393,3.98928842504744,24.989945813225,PRIMARY_MODEL_FIT
16,16,16,2,42,526,788.883,794.133,-10.463,10.495,446.044961977186,446.84,16.2535259500231,12.1022438752482,3.99236882129278,24.9908878159155,PRIMARY_MODEL_FIT
17,17,17,2,20,526,889,894.25,-10.474,10.465,1091.03701520913,1086.87,34.5419361636142,10.082720216392,-0.00451520912547529,24.9905570479805,PRIMARY_MODEL_FIT
18,18,18,2,19,526,922.799,928.049,-10.482,10.487,873.196520912547,871.285,23.9980230905349,10.0929004317477,-0.00454752851711027,24.9919864379854,PRIMARY_MODEL_FIT
19,19,19,2,18,526,956.598,961.848,-10.491,10.461,650.806235741445,651.445,17.4277551676721,10.1020383606993,-0.00430038022813688,24.989293041943,PRIMARY_MODEL_FIT
20,20,20,2,16,526,990.368,995.617,-10.477,10.481,205.723060836502,205.76,13.929824062886,10.1026284381874,-0.000574144486692015,24.9898836989699,PRIMARY_MODEL_FIT
21,21,21,2,20,526,1024.197,1029.446,-10.493,10.477,1087.35954372624,1082.76,33.8657719179844,10.0793948264356,-0.000889733840304183,24.9928842366662,PRIMARY_MODEL_FIT
22,22,22,2,17,527,1057.974,1063.234,-10.48,10.498,428.514440227704,429.64,13.3685913476147,10.0915771759956,-0.00406831119544592,24.9946738938338,PRIMARY_MODEL_FIT
23,23,23,2,24,526,1091.792,1097.042,-10.479,10.48,871.928003802281,872.33,18.3880145024127,10.104751614196,1.99530038022814,24.9913367152559,PRIMARY_MODEL_FIT
24,24,24,2,23,526,1125.589,1130.839,-10.472,10.466,661.507870722433,661.76,13.4883433989507,10.1047157683673,1.99404942965779,24.9957075772545,PRIMARY_MODEL_FIT
25,25,25,2,21,526,1159.367,1164.617,-10.5,10.442,214.336863117871,215,16.7458611645155,10.1022313767,1.99503041825095,24.9912422101316,PRIMARY_MODEL_FIT
26,26,26,2,25,526,1193.184,1198.434,-10.49,10.481,1097.78279467681,1091.935,28.5482225346726,10.0972791375941,1.9901825095057,24.9889150214459,PRIMARY_MODEL_FIT
27,27,27,2,22,526,1226.972,1232.222,-10.486,10.471,437.653307984791,438.595,14.9205810587802,10.1082314169531,1.99025475285171,24.9895883704565,PRIMARY_MODEL_FIT
28,28,28,2,29,527,1260.77,1266.029,-10.496,10.499,880.65660341556,879.14,15.7753246229164,10.1030673573057,3.99273624288425,24.9942140555701,PRIMARY_MODEL_FIT
29,29,29,2,28,527,1294.567,1299.827,-10.496,10.496,669.600872865275,668.97,13.6261872122719,10.1213470661107,3.98990891840607,24.9953931280412,PRIMARY_MODEL_FIT
30,30,30,2,26,525,1328.355,1333.594,-10.449,10.45,219.886723809524,220,14.5228171202659,10.1125145339229,3.99217333333333,24.9947449750599,PRIMARY_MODEL_FIT
31,31,31,2,30,526,1362.172,1367.422,-10.493,10.48,1104.84355513308,1100.765,25.8999481687991,10.0951476894712,3.98971673003803,24.99296692865,PRIMARY_MODEL_FIT
32,32,32,2,27,526,1395.96,1401.209,-10.478,10.478,446.741064638783,446.78,14.5295415720165,10.1082010858672,3.9926349809886,24.9925180293096,PRIMARY_MODEL_FIT
33,33,33,2,50,526,1496.062,1501.312,-10.488,10.448,1088.04711026616,1084.83,26.1447758601291,14.088191022082,-0.00476235741444867,24.9895765573159,PRIMARY_MODEL_FIT
34,34,34,2,49,526,1529.85,1535.1,-10.474,10.477,870.213346007605,870.44,20.0351123262577,14.1004447807605,-0.00432699619771863,24.9930023680716,PRIMARY_MODEL_FIT
35,35,35,2,48,525,1563.648,1568.887,-10.444,10.442,649.047104761905,649.71,16.7398518762336,14.1059449279539,-0.00469333333333334,24.9946502899259,PRIMARY_MODEL_FIT
36,36,36,2,46,526,1597.425,1602.675,-10.476,10.486,209.329410646388,209.17,15.902468063453,14.0842066203515,-5.13307984790875e-05,24.992636160715,PRIMARY_MODEL_FIT
37,37,37,2,50,527,1631.243,1636.502,-10.49,10.49,1083.93721062619,1081.01,24.0761645537459,14.1017137523974,-0.00178937381404175,24.9943437535419,PRIMARY_MODEL_FIT
38,38,38,2,47,526,1665.03,1670.28,-10.497,10.476,428.457186311787,428.58,16.7436584746494,14.0901046378612,-0.00126996197718631,24.9947152734495,PRIMARY_MODEL_FIT
39,39,39,2,54,526,1698.838,1704.088,-10.485,10.472,870.626254752852,871.2,17.1685726018356,14.1026892811125,1.99393536121673,24.9933567622877,PRIMARY_MODEL_FIT
40,40,40,2,53,526,1732.635,1737.885,-10.483,10.466,659.623840304183,660.425,18.3504435364892,14.1131810794409,1.99303422053232,24.9970897146974,PRIMARY_MODEL_FIT
41,41,41,2,51,526,1766.413,1771.663,-10.479,10.486,211.675817490494,211.685,18.9353520217497,14.1027278843126,1.99573384030418,24.994089177001,PRIMARY_MODEL_FIT
42,42,42,2,55,526,1800.23,1805.48,-10.471,10.499,1095.77268060836,1098.24,20.2764842505439,14.0900853362611,1.99313498098859,24.9938292879092,PRIMARY_MODEL_FIT
43,43,43,2,52,526,1834.018,1839.268,-10.47,10.491,436.993288973384,437.535,19.9844816276018,14.11576473648,1.99267300380228,24.9911358918668,PRIMARY_MODEL_FIT
44,44,44,2,59,526,1867.826,1873.075,-10.495,10.471,878.750209125475,879.08,16.8547000920894,14.0850090154404,3.99188403041825,24.9942663741091,PRIMARY_MODEL_FIT
