ConditionID,SweepCount,SampleCount,FZ_Mean_N,FZ_Median_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,PeakFY_Mean_N,PeakFY_Std_N,MuY_Mean,MuY_Std,CorneringStiffness_Mean_N_per_deg,CorneringStiffness_Std_N_per_deg,PeakSlipAngle_Mean_deg,PeakSlipAngle_Std_deg,SymmetryRatio_Mean,MuY,LoadSensitivity_FY_per_FZ
1,1,526,204.059125475285,204.88,8.10620052251093,-0.000361216730038022,24.9863751962305,753.31,0,3.69162613161957,0,227.075902014176,0,7.524,0,1.06553226399615,3.69162613161957,3.69162613161957
2,1,526,425.416711026616,425.31,8.09656902407169,0.00246958174904943,24.9885842535108,1279.93,0,3.00865002907683,0,355.314729040545,0,9.643,0,1.03061413467965,3.00865002907683,3.00865002907683
3,1,526,647.314600760456,645.215,8.10157365323494,-0.00234030418250951,24.9882771118569,1761.31,0,2.72094897586249,0,444.399089243717,0,NaN,NaN,1.00947975950985,2.72094897586249,2.72094897586249
4,1,526,869.325475285171,864.22,8.10267108706798,-0.000925855513307985,24.9898482595483,2255.84,0,2.59493143147565,0,498.449432419173,0,NaN,NaN,1.01633642400815,2.59493143147565,2.59493143147565
5,2,1053,1085.68614638423,1076.86,8.10018395634199,0.000144468654627312,24.98717138397,2673.285,16.8079281888042,2.46229001315535,0.0110162626943489,525.327322410264,11.5323170501409,NaN,NaN,1.02398423405139,2.46230000161937,2.46230000161937
6,1,526,211.230608365019,211.585,8.10459573233297,1.99397718631179,24.9887260111973,740.6,0,3.50612065993864,0,228.095947379884,0,7.667,0,1.06876398008514,3.50612065993864,3.50612065993864
7,1,526,436.140285171103,438.305,8.10848086869165,1.99021482889734,24.9887614506189,1271.91,0,2.9162864409579,0,352.180580906229,0,9.639,0,1.07063131313131,2.9162864409579,2.9162864409579
8,1,525,659.33220952381,658.67,8.10940800726457,1.99247619047619,24.9889455105991,1769.99,0,2.68451923693875,0,438.922211673424,0,NaN,NaN,1.03376397341401,2.68451923693875,2.68451923693875
9,1,526,868.869239543726,864.09,8.10159019746358,1.9946102661597,24.9863633830899,2232.25,0,2.56914377722962,0,488.230663392833,0,NaN,NaN,1.02505407105695,2.56914377722962,2.56914377722962
10,1,526,1092.90057034221,1082.205,8.11169872116191,1.99308745247148,24.9891985368187,2655.26,0,2.42955312866988,0,509.8974030335,0,NaN,NaN,1.04526684171368,2.42955312866988,2.42955312866988
11,1,526,216.718288973384,217.53,8.10816377097607,3.99107414448669,24.9939828587362,636.09,0,2.93510069230069,0,194.271377172209,0,7.841,0,1.06342890579286,2.93510069230069,2.93510069230069
12,1,527,443.380910815939,443.15,8.1065086836223,3.99266034155598,24.9877645291535,1190.87,0,2.68588468955166,0,320.729020757557,0,9.677,0,1.08417621835198,2.68588468955166,2.68588468955166
13,1,526,667.303783269962,667.615,8.10623085359677,3.99197718631179,24.9912776495532,1711.7,0,2.56509859963962,0,407.522371665928,0,8.87,0,1.0570160000494,2.56509859963962,2.56509859963962
14,1,525,876.663847619048,872.14,8.10081072269643,3.99254476190476,24.9899988827154,2178.52,0,2.48501179319382,0,459.733458459126,0,NaN,NaN,1.04062135773927,2.48501179319382,2.48501179319382
15,1,525,1099.84666666667,1087.66,8.09030446523735,3.9926780952381,24.990993076623,2601.79,0,2.36559338574468,0,486.198231669898,0,NaN,NaN,1.05791774249294,2.36559338574468,2.36559338574468
16,1,526,205.723060836502,205.76,10.1026284381874,-0.000574144486692015,24.9898836989699,681.54,0,3.31290034879295,0,224.007042413318,0,8.463,0,1.03780968768558,3.31290034879295,3.31290034879295
17,1,527,428.514440227704,429.64,10.0915771759956,-0.00406831119544592,24.9946738938338,1261.88,0,2.94477824208086,0,367.596963553127,0,NaN,NaN,1.06206339320282,2.94477824208086,2.94477824208086
18,1,526,650.806235741445,651.445,10.1020383606993,-0.00430038022813688,24.989293041943,1797.26,0,2.7615900114301,0,478.308687754673,0,NaN,NaN,1.0400930566326,2.7615900114301,2.7615900114301
19,1,526,873.196520912547,871.285,10.0929004317477,-0.00454752851711027,24.9919864379854,2276.21,0,2.60675569071349,0,554.665602864297,0,NaN,NaN,1.01067863739699,2.60675569071349,2.60675569071349
20,2,1052,1089.19827946768,1084.815,10.0810575214138,-0.00270247148288973,24.9917206423234,2756.46,31.0844141009607,2.53069693716331,0.0224969858686239,589.43848479657,9.06840008225507,NaN,NaN,1.01295825830174,2.53072379195012,2.53072379195012
21,1,526,214.336863117871,215,10.1022313767,1.99503041825095,24.9912422101316,686.63,0,3.20350867327194,0,220.607533300106,0,9.359,0,1.021345272803,3.20350867327194,3.20350867327194
22,1,526,437.653307984791,438.595,10.1082314169531,1.99025475285171,24.9895883704565,1252.03,0,2.86078038748312,0,355.647560808143,0,NaN,NaN,1.05266565214101,2.86078038748312,2.86078038748312
23,1,526,661.507870722433,661.76,10.1047157683673,1.99404942965779,24.9957075772545,1794.8,0,2.71319523082907,0,463.007822084573,0,NaN,NaN,1.06205582479748,2.71319523082907,2.71319523082907
24,1,526,871.928003802281,872.33,10.104751614196,1.99530038022814,24.9913367152559,2265.81,0,2.5986205169685,0,530.796832651652,0,NaN,NaN,1.03925750612324,2.5986205169685,2.5986205169685
25,1,526,1097.78279467681,1091.935,10.0972791375941,1.9901825095057,24.9889150214459,2712.87,0,2.47122656062276,0,565.092114284384,0,NaN,NaN,1.02876742977842,2.47122656062276,2.47122656062276
26,1,525,219.886723809524,220,10.1125145339229,3.99217333333333,24.9947449750599,621.66,0,2.82718296598257,0,185.06328150007,0,NaN,NaN,1.02594316268938,2.82718296598257,2.82718296598257
27,1,526,446.741064638783,446.78,10.1082010858672,3.9926349809886,24.9925180293096,1174.39,0,2.62879348454247,0,317.659767617178,0,8.244,0,1.04119973047734,2.62879348454247,2.62879348454247
28,1,527,669.600872865275,668.97,10.1213470661107,3.98990891840607,24.9953931280412,1692.15,0,2.52710244053171,0,417.85060849149,0,8.434,0,1.03946802629154,2.52710244053171,2.52710244053171
29,1,527,880.65660341556,879.14,10.1030673573057,3.99273624288425,24.9942140555701,2210.84,0,2.51044503774278,0,486.910303455118,0,NaN,NaN,1.04654652522355,2.51044503774278,2.51044503774278
30,1,526,1104.84355513308,1100.765,10.0951476894712,3.98971673003803,24.99296692865,2654.96,0,2.40301895020803,0,531.159021453519,0,NaN,NaN,1.0364378791546,2.40301895020803,2.40301895020803
