SweepID,ConditionID,RunNumber,FZ_Mean_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,PeakAbsFY_N,SA_AtPeak_deg,PeakStatus,PeakBoundaryDistance_deg
1,35,2,1085.10939163498,12.0921849842358,-0.00104372623574144,24.9889504608675,2646.83,10.483,BOUNDARY_LIMITED,0
2,34,2,873.483036053131,12.0872909429336,-0.00435673624288425,24.9899811853991,2212.9,10.497,BOUNDARY_LIMITED,0
3,33,2,652.245038022814,12.1028229232506,-0.00404942965779468,24.9872139292086,1725.3,10.426,BOUNDARY_LIMITED,0.0519999999999996
4,31,2,207.469505703422,12.0956565148785,-0.000231939163498099,24.9867414035871,667.44,8.603,RESOLVED,1.895
5,35,2,1089.35992395437,12.0908669606876,0.000444866920152091,24.9891867236782,2653.82,10.348,BOUNDARY_LIMITED,0.132999999999999
6,32,2,428.583041825095,12.0944818746452,0.00344486692015209,24.9880881016083,1201,10.462,BOUNDARY_LIMITED,0
7,39,2,872.61030418251,12.1077475886421,1.99527376425856,24.9880762884678,2200.28,10.171,BOUNDARY_LIMITED,0.322000000000001
8,38,2,662.924771863118,12.0998890800386,1.9933288973384,24.990084522359,1724.84,10.113,BOUNDARY_LIMITED,0.362
9,36,2,215.959372623574,12.1100251774514,1.99018060836502,24.9892221630998,692.11,-7.524,RESOLVED,2.967
10,40,2,1098.99950570342,12.0976914550011,1.99088212927757,24.9898364464077,2652.68,10.397,BOUNDARY_LIMITED,0.0839999999999996
11,37,2,437.53935483871,12.084461743799,1.99456356736243,24.9888374851022,1211.36,10.203,BOUNDARY_LIMITED,0.290000000000001
12,44,2,881.589562737643,12.0680221383088,3.99253422053232,24.9898600726888,2164.54,10.496,BOUNDARY_LIMITED,0
13,43,2,671.097699619772,12.1131658235213,3.99236882129278,24.9899782040942,1693.3,10.404,BOUNDARY_LIMITED,0.0909999999999993
14,41,2,220.477433460076,12.1069700098961,3.9923422053232,24.9883479907001,641.43,-7.912,RESOLVED,2.557
15,45,2,1107.41812144212,12.092696144393,3.98928842504744,24.989945813225,2618.07,10.354,BOUNDARY_LIMITED,0.139000000000001
16,42,2,446.044961977186,12.1022438752482,3.99236882129278,24.9908878159155,1172.61,10.09,BOUNDARY_LIMITED,0.404999999999999
17,20,2,1091.03701520913,10.082720216392,-0.00451520912547529,24.9905570479805,2778.44,10.423,BOUNDARY_LIMITED,0.0419999999999998
18,19,2,873.196520912547,10.0929004317477,-0.00454752851711027,24.9919864379854,2276.21,10.391,BOUNDARY_LIMITED,0.0960000000000001
19,18,2,650.806235741445,10.1020383606993,-0.00430038022813688,24.989293041943,1797.26,10.461,BOUNDARY_LIMITED,0
20,16,2,205.723060836502,10.1026284381874,-0.000574144486692015,24.9898836989699,681.54,8.463,RESOLVED,2.018
21,20,2,1087.35954372624,10.0793948264356,-0.000889733840304183,24.9928842366662,2734.48,10.477,BOUNDARY_LIMITED,0
22,17,2,428.514440227704,10.0915771759956,-0.00406831119544592,24.9946738938338,1261.88,10.189,BOUNDARY_LIMITED,0.308999999999999
23,24,2,871.928003802281,10.104751614196,1.99530038022814,24.9913367152559,2265.81,10.162,BOUNDARY_LIMITED,0.318
24,23,2,661.507870722433,10.1047157683673,1.99404942965779,24.9957075772545,1794.8,10.119,BOUNDARY_LIMITED,0.347
25,21,2,214.336863117871,10.1022313767,1.99503041825095,24.9912422101316,686.63,9.359,RESOLVED,1.083
26,25,2,1097.78279467681,10.0972791375941,1.9901825095057,24.9889150214459,2712.87,10.481,BOUNDARY_LIMITED,0
27,22,2,437.653307984791,10.1082314169531,1.99025475285171,24.9895883704565,1252.03,10.176,BOUNDARY_LIMITED,0.295
28,29,2,880.65660341556,10.1030673573057,3.99273624288425,24.9942140555701,2210.84,10.426,BOUNDARY_LIMITED,0.0730000000000004
29,28,2,669.600872865275,10.1213470661107,3.98990891840607,24.9953931280412,1692.15,8.434,RESOLVED,2.062
30,26,2,219.886723809524,10.1125145339229,3.99217333333333,24.9947449750599,621.66,10.109,BOUNDARY_LIMITED,0.340999999999999
31,30,2,1104.84355513308,10.0951476894712,3.98971673003803,24.99296692865,2654.96,10.167,BOUNDARY_LIMITED,0.313000000000001
32,27,2,446.741064638783,10.1082010858672,3.9926349809886,24.9925180293096,1174.39,8.244,RESOLVED,2.234
