SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ConditionID,SampleCount,FZ_Mean_N,FZ_Median_N,FZ_Std_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,PeakAbsFY_N,PeakSignedFY_N,SA_AtPeak_deg,MuY_Peak,RawCorneringSlope_N_per_deg,CorneringStiffness_N_per_deg,CorneringStiffness_N_per_rad,Stiffness_R2,ZeroSlipFY_N,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio,PeakStatus,PeakBoundaryDistance_deg,LoadQC,StiffnessQC
1,81,81,4,7,526,864.971216730038,862.385,22.5567702610987,12.1033909417672,-0.00122813688212928,15.0069766517908,-10.481,10.475,-2129.64,2027.88,2129.64,-2129.64,10.401,2.46209348797866,-505.110779222661,505.110779222661,28940.7158360228,0.99757350263565,-16.7144308408899,2129.64,2027.88,1.05018048405231,BOUNDARY_LIMITED,0.0739999999999998,NORMAL,GOOD
2,82,82,4,5,526,649.339505703422,648.685,17.1608743850646,12.0987613151198,-0.00203992395437262,15.0062914896397,-10.452,10.483,-1660.62,1593.79,1660.62,-1660.62,10.483,2.55739868807315,-427.795215154016,427.795215154016,24510.8603242161,0.99600452750267,-1.92553077324205,1660.62,1593.79,1.04193149662126,BOUNDARY_LIMITED,0,NORMAL,GOOD
3,83,83,4,1,526,205.548288973384,206.1,14.0830828375633,12.0980719722598,-0.00113307984790874,15.0131312980105,-10.494,10.464,-651.88,629.83,651.88,-651.88,8.769,3.17142022079498,-200.943376373226,200.943376373226,11513.2073872947,0.992649338203259,5.8856794286061,651.88,629.83,1.03500944699363,RESOLVED,1.695,LOW_LOAD,GOOD
4,84,84,4,9,526,1083.61690114068,1080.975,29.5185749833126,12.0829147014552,-0.00247528517110266,15.0128477826376,-10.489,10.475,-2578.27,2417.4,2578.27,-2578.27,10.475,2.37931874012481,-558.426755358602,558.426755358602,31995.4962492324,0.998755244049745,-31.3440798477472,2578.27,2417.4,1.06654670306941,BOUNDARY_LIMITED,0,NORMAL,GOOD
5,85,85,4,3,527,427.033795066414,428.04,14.621514332913,12.0979142003843,0.000907020872865276,15.0077767847158,-10.499,10.492,-1170.77,1125.44,1170.77,-1170.77,10.067,2.7416331295698,-323.72292486377,323.72292486377,18547.9573263247,0.993570078439782,6.7575036200056,1170.77,1125.44,1.04027758032414,BOUNDARY_LIMITED,0.425000000000001,NORMAL,GOOD
6,86,86,4,8,526,857.750627376426,858.735,19.2319583180836,12.0692188375137,0.00143346007604563,44.9406832917057,-10.468,10.475,-1939.65,1924.05,1939.65,-1939.65,8.368,2.26132157540094,-512.289963216651,512.289963216651,29352.0527792263,0.997903019025918,-41.6619278596079,1939.65,1924.05,1.00810789740391,RESOLVED,2.107,NORMAL,GOOD
7,87,87,4,6,526,647.781197718631,648.545,16.1305151304061,12.0812134032768,0.00123574144486692,44.942230813116,-10.452,10.499,-1558.23,1535.81,1558.23,-1558.23,9.667,2.40548815786535,-419.996497539175,419.996497539175,24064.0267192714,0.996220082800109,-18.4421506503269,1558.23,1535.81,1.01459815992864,RESOLVED,0.832000000000001,NORMAL,GOOD
8,88,88,4,2,526,209.21463878327,209.14,14.7090331611544,12.1003936790121,0.000290874524714829,44.941084938484,-10.477,10.465,-678.53,597.73,678.53,-678.53,8.503,3.24322429800385,-195.28375843648,195.28375843648,11188.9351658626,0.992232826851988,2.36488905285471,678.53,597.73,1.13517809044217,RESOLVED,1.962,LOW_LOAD,GOOD
9,89,89,4,10,526,1085.17509505703,1086.055,24.1487383618097,12.0943467634446,-0.00226996197718631,44.9424434496457,-10.459,10.474,-2333.04,2317.69,2333.04,-2333.04,9.305,2.14992033140733,-553.644203730085,553.644203730085,31721.476225615,0.998631039458259,-56.0288870846523,2333.04,2317.69,1.00662297373678,RESOLVED,1.169,NORMAL,GOOD
10,90,90,4,4,526,427.122661596958,427.08,16.2232759227079,12.0893283474242,0.00214068441064639,44.9418055400567,-10.481,10.49,-1142.38,1086.44,1142.38,-1142.38,10.417,2.67459468371166,-305.385562343925,305.385562343925,17497.3038465362,0.994783482503775,-2.71470544700161,1142.38,1086.44,1.05148926770001,BOUNDARY_LIMITED,0.0730000000000004,NORMAL,GOOD
