SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ConditionID,SampleCount,FZ_Mean_N,FZ_Median_N,FZ_Std_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,PeakAbsFY_N,PeakSignedFY_N,SA_AtPeak_deg,MuY_Peak,RawCorneringSlope_N_per_deg,CorneringStiffness_N_per_deg,CorneringStiffness_N_per_rad,Stiffness_R2,ZeroSlipFY_N,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio,PeakStatus,PeakBoundaryDistance_deg,LoadQC,StiffnessQC
1,1,1,2,35,526,1085.10939163498,1081.305,25.815095473305,12.0921849842358,-0.00104372623574144,24.9889504608675,-10.494,10.483,-2646.83,2596.24,2646.83,-2646.83,10.483,2.43922872698752,-591.20181766306,591.20181766306,33873.3689925562,0.998750431126092,-23.4204113286059,2646.83,2596.24,1.01948587187625,BOUNDARY_LIMITED,0,NORMAL,GOOD
2,2,2,2,34,527,873.483036053131,873.47,19.5905372877094,12.0872909429336,-0.00435673624288425,24.9899811853991,-10.483,10.497,-2212.9,2141.8,2212.9,-2212.9,10.497,2.53342069469269,-535.319753613161,535.319753613161,30671.5625720172,0.997353904454802,-19.7835475558204,2212.9,2141.8,1.03319637687926,BOUNDARY_LIMITED,0,NORMAL,GOOD
3,3,3,2,33,526,652.245038022814,652.85,15.6919652931192,12.1028229232506,-0.00404942965779468,24.9872139292086,-10.476,10.478,-1725.3,1653.49,1725.3,-1725.3,10.426,2.64517152208623,-450.270997505804,450.270997505804,25798.6277942282,0.995351243447219,-17.008093196257,1725.3,1653.49,1.04342935246055,BOUNDARY_LIMITED,0.0519999999999996,NORMAL,GOOD
4,4,4,2,31,526,207.469505703422,207.345,14.2625737122745,12.0956565148785,-0.000231939163498099,24.9867414035871,-10.462,10.498,-667.44,638.84,667.44,-667.44,8.603,3.21705109257891,-212.83945805148,212.83945805148,12194.8026602015,0.988793399274467,-5.08001643553571,667.44,638.84,1.04476864316574,RESOLVED,1.895,LOW_LOAD,GOOD
5,5,5,2,35,526,1089.35992395437,1084.74,26.571676327461,12.0908669606876,0.000444866920152091,24.9891867236782,-10.49,10.481,-2653.82,2608.62,2653.82,-2653.82,10.348,2.43612780463471,-597.770504550691,597.770504550691,34249.7270281604,0.998591482008054,-25.5153839042148,2653.82,2608.62,1.01732716915457,BOUNDARY_LIMITED,0.132999999999999,NORMAL,GOOD
6,6,6,2,32,526,428.583041825095,428.81,14.6025137779232,12.0944818746452,0.00344486692015209,24.9880881016083,-10.486,10.462,-1201,1157.14,1201,-1201,10.462,2.80225739890597,-346.23034247286,346.23034247286,19837.537363064,0.992569881226786,-9.15154925957575,1201,1157.14,1.03790379729333,BOUNDARY_LIMITED,0,NORMAL,GOOD
7,7,7,2,39,526,872.61030418251,873.06,15.1048359176051,12.1077475886421,1.99527376425856,24.9880762884678,-10.472,10.493,-2200.28,2121.06,2200.28,-2200.28,10.171,2.52149211332233,-532.673098354723,532.673098354723,30519.9203958826,0.99834841774391,117.584005788519,2200.28,2121.06,1.03734924990335,BOUNDARY_LIMITED,0.322000000000001,NORMAL,GOOD
8,8,8,2,38,526,662.924771863118,663.265,15.3398427211546,12.0998890800386,1.9933288973384,24.990084522359,-10.481,10.475,-1724.84,1660.86,1724.84,-1724.84,10.113,2.60186385123673,-452.109564758758,452.109564758758,25903.9699381734,0.997182058721464,71.9740956677493,1724.84,1660.86,1.03852221138446,BOUNDARY_LIMITED,0.362,NORMAL,GOOD
9,9,9,2,36,526,215.959372623574,215.995,17.1979112293693,12.1100251774514,1.99018060836502,24.9892221630998,-10.491,10.464,-662.5,692.11,692.11,692.11,-7.524,3.20481575581522,-211.658812457928,211.658812457928,12127.1566505903,0.988643554344985,4.84069217727956,662.5,692.11,0.957217783300342,RESOLVED,2.967,LOW_LOAD,GOOD
10,10,10,2,40,526,1098.99950570342,1099.045,21.0497799410048,12.0976914550011,1.99088212927757,24.9898364464077,-10.477,10.481,-2652.68,2604.85,2652.68,-2652.68,10.397,2.41372265067775,-586.030990048486,586.030990048486,33577.1023936514,0.999133685374021,154.095048155269,2652.68,2604.85,1.01836190183696,BOUNDARY_LIMITED,0.0839999999999996,NORMAL,GOOD
