ParameterIndex,Parameter,MaxAbsDeltaR2,MaxAbsDeltaRMSE_N,MaxAbsDeltaCalpha_N_per_deg,MaxAbsDeltaPeakMu,MaxAbsDeltaPeakSA_deg
2,PDY1,0.00669108123014917,65.6609130840548,0,0.244159035009565,0.871088861076345
7,PKY1,0.00119857879058671,15.2153632292174,0,0.00626691480286423,0.750938673341677
8,PKY2,0.000296331705220809,4.02389764505654,0,0.00119088314923976,0
1,PCY1,0.000264778774688668,3.60484451989397,0,0.017806766605676,1.47183979974969
3,PDY2,0.000122195025639815,1.68382224646706,0,0,0
5,PEY1,5.23099916039937e-05,0.725213172626098,0,0.00329107955068642,0.420525657071339
17,Pmu1,3.99977662158824e-05,0.555119633190998,0,0,0
4,PDY3,3.65474637480379e-05,0.5073878058855,0,0,0
12,PHY3,2.9366985840551e-05,0.407959551630881,0,0,0
6,PEY2,2.89775782797985e-05,0.402563824625588,0,0,0
9,PKY3,2.1921200951347e-05,0.304724754779201,0,0,0
13,PVY1,2.09074006521925e-05,0.290658061825553,0,0.0068066950349519,0
19,Pk1,1.37158980794139e-05,0.19080207611087,0,0,0
10,PHY1,6.28308961392321e-06,0.0874618077972826,0,1.78366332326263e-05,0
11,PHY2,4.33272213451463e-06,0.0603227685383558,0,0,0
18,Pmu2,3.23440109195605e-06,0.0450356759429837,0,0,0
15,PVY3,2.81515650091269e-06,0.0391995909572103,0,0,0
16,PVY4,1.32258022067511e-06,0.0184186857627537,0,0,0
14,PVY2,8.74079688850671e-07,0.0121732057692725,0,0,0
