ParameterIndex,Parameter,Perturbation_pct,BaselineValue,TestValue,Global_R2,Global_RMSE_N,Global_MAE_N,Reference_R2,Reference_RMSE_N,Reference_MAE_N,Reference_Calpha_N_per_deg,Reference_PeakMu,Reference_PeakSA_deg
1,PCY1,-10,1.77269277844169,1.59542350059752,0.996924455595863,81.9013401185684,59.4374636348614,0.996960566638959,100.019199182357,78.132066337756,561.635273423459,2.49463548777031,12
1,PCY1,-5,1.77269277844169,1.6840581395196,0.997158512733006,78.7232226567265,57.5617868653549,0.996438147543074,108.274209785507,85.8733664123287,561.635273423459,2.50711750158134,12
1,PCY1,0,1.77269277844169,1.77269277844169,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
1,PCY1,5,1.77269277844169,1.86132741736377,0.997107455201945,79.4273465235136,59.4749870847847,0.99543919742094,122.520199916481,99.519908981806,561.635273423459,2.51275164959815,11.3241551939925
1,PCY1,10,1.77269277844169,1.94996205628586,0.996970482354187,81.2861866993403,61.4350235399151,0.995067791999029,127.411242718639,104.333512880593,561.635273423459,2.5127518048985,10.5281602002503
2,PDY1,-10,2.44468488671249,2.20021639804124,0.990498153140403,143.957408682729,103.855322711753,0.995545502786385,121.083901409805,91.876512396779,561.635273423459,2.26828321936643,11.1289111389237
2,PDY1,-5,2.44468488671249,2.32245064237686,0.995637813711321,97.5398562782798,69.3169004532089,0.997773467886831,85.6054750508729,67.6503097377675,561.635273423459,2.39051754516691,11.7446808510638
2,PDY1,0,2.44468488671249,2.44468488671249,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
2,PDY1,5,2.44468488671249,2.56691913104811,0.995504059564076,99.0239581062427,74.5503671368124,0.990284547172681,178.821026554515,147.006690098581,561.635273423459,2.63269874421409,12
2,PDY1,10,2.44468488671249,2.68915337538374,0.990913095537867,140.779036378711,107.00380140906,0.981231308217882,248.544445084961,214.17108634447,561.635273423459,2.7510452830353,12
3,PDY2,-10,-0.536222846545396,-0.482600561890857,0.997266936301485,77.2066811533229,57.1825265157252,0.995905147787926,116.093037953879,93.2679247939376,561.635273423459,2.51244225437599,12
3,PDY2,-5,-0.536222846545396,-0.509411704218127,0.997233648523352,77.6754336054899,57.4769823969427,0.995906308405006,116.076584477108,93.2621659761236,561.635273423459,2.51244225437599,12
3,PDY2,0,-0.536222846545396,-0.536222846545396,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
3,PDY2,5,-0.536222846545396,-0.563033988872666,0.997133697013578,79.0662343323131,58.5293782370075,0.99590860689094,116.043993128791,93.2509310733806,561.635273423459,2.51244225437599,12
3,PDY2,10,-0.536222846545396,-0.589845131199936,0.997067039344912,79.9803178451415,59.27899009263,0.995909744759492,116.027855350179,93.2454506920976,561.635273423459,2.51244225437599,12
4,PDY3,-10,11.8640254759311,10.677622928338,0.997213533404095,77.9573248656017,57.8814430955887,0.995907458758041,116.060274206769,93.2564372568983,561.635273423459,2.51244225437599,12
4,PDY3,-5,11.8640254759311,11.2708242021345,0.997202905895722,78.1058469518183,57.8887023995216,0.995907460098718,116.060255196649,93.2564229273908,561.635273423459,2.51244225437599,12
4,PDY3,0,11.8640254759311,11.8640254759311,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
4,PDY3,5,11.8640254759311,12.4572267497276,0.997172500753399,78.529214993497,57.999190125468,0.995907462780069,116.060217176462,93.2563942683744,561.635273423459,2.51244225437599,12
4,PDY3,10,11.8640254759311,13.0504280235242,0.997152686906804,78.8038834045599,58.0971248740908,0.995907464120742,116.060198166395,93.2563799388656,561.635273423459,2.51244225437599,12
5,PEY1,-10,0.76473505181457,0.688261546633113,0.997173414750167,78.5165215772033,58.3921795772596,0.995617624202074,120.099684971807,97.0498305405775,561.635273423459,2.51275174540438,11.5794743429287
5,PEY1,-5,0.76473505181457,0.726498299223842,0.997185136476937,78.3535501333765,58.1241958288231,0.995757567431823,118.166544018505,95.2051081606625,561.635273423459,2.51275175248736,11.9399249061327
5,PEY1,0,0.76473505181457,0.76473505181457,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
