Parameter,ParameterIndex,Perturbation_pct,ParameterValue,Global_R2,Global_RMSE_N,Global_MAE_N,Reference_R2,Reference_RMSE_N,Reference_MAE_N,Reference_Calpha_N_per_deg,Reference_PeakMu,Reference_PeakSA_deg,DeltaR2,DeltaRMSE_N,DeltaMAE_N,DeltaReferenceCAlpha_N_per_deg,DeltaReferencePeakMu,DeltaReferencePeakSA_deg
PDY1,2,-10,2.20021639804124,0.990378666495945,145.656359724713,105.215583221964,0.995545502786385,121.083901409805,91.876512396779,545.039689224431,2.26828330960452,11.14,-0.00680336206053267,66.8284317243731,46.7972128025667,-0.0901924476863769,-0.24415894477147,-0.859999999999999
PDY1,2,-5,2.32245064237686,0.995572166751093,98.811489483381,70.2712460221694,0.997773467886831,85.6054750508729,67.6503097377675,545.088339699422,2.39051759099758,11.75,-0.00160986180538547,19.9835614830413,11.8528756027719,-0.0415419726955406,-0.121924663378414,-0.25
PDY1,2,0,2.44468488671249,0.997182028556478,78.8279280003397,58.4183704193975,0.995907461439394,116.060236186547,93.2564085978828,545.129881672118,2.51244225437599,12,0,0,0,0,0,0
PDY1,2,5,2.56691913104811,0.995561641280976,98.9288629234628,74.838200556486,0.990284547172681,178.821026554515,147.006690098581,545.165635261654,2.63269874421409,12,-0.00162038727550207,20.1009349231231,16.4198301370885,0.0357535895361707,0.120256489838101,0
PDY1,2,10,2.68915337538374,0.991043185495679,140.536329774758,107.082097908975,0.981231308217882,248.544445084961,214.17108634447,545.196627821682,2.7510452830353,12,-0.00613884306079948,61.7084017744179,48.6637274895777,0.066746149563869,0.238603028659305,0
PKY1,7,-10,34.214516501531,0.995937605983771,94.6461253216028,68.4072226374295,0.996529558007949,106.875818755472,84.4658444514248,490.682658086083,2.50617533957313,12,-0.0012444225727074,15.8181973212631,9.98885221803203,-54.4472235860347,-0.00626691480286423,0
PKY1,7,-5,36.1153229738383,0.996894705283761,82.7490905760736,60.21164563677,0.996398728293089,108.8717000365,84.9825321321859,517.909008383711,2.51043047409691,12,-0.000287323272716966,3.92116257573396,1.79327521737254,-27.2208732884067,-0.00201178027908488,0
PKY1,7,0,38.0161294461456,0.997182028556478,78.8279280003397,58.4183704193975,0.995907461439394,116.060236186547,93.2564085978828,545.129881672118,2.51244225437599,12,0,0,0,0,0,0
PKY1,7,5,39.9169359184528,0.996935733143801,82.2006230305288,62.021339223509,0.995145642464746,126.401707305409,105.332987875633,572.344990646574,2.51275183020643,11.78,-0.000246295412677067,3.37269503018912,3.60296880411151,27.2151089744561,0.000309575830435449,-0.220000000000001
PKY1,7,10,41.8177423907601,0.996263882371203,90.765768257497,69.2284831697714,0.994181459951383,138.386611020084,118.699120376956,599.554048149656,2.51275182049573,11.25,-0.000918146185274749,11.9378402571573,10.8101127503739,54.4241664775385,0.000309566119739646,-0.75
PKY2,8,-10,1.2704145623985,0.996895491632028,82.7386127100694,62.3339659530009,0.995475149495631,122.036340948916,100.210865834386,561.649044815539,2.51275183429858,12,-0.000286536924449687,3.91068470972972,3.9155955336034,16.5191631434212,0.000309579922590952,0
PKY2,8,-5,1.34099314919842,0.997070770448794,80.3689918856296,59.9998978348103,0.995691332488709,119.08540855921,96.8367312750175,553.814691936754,2.51268325820928,12,-0.000111258107684531,1.5410638852899,1.58152741541283,8.68481026463644,0.000241003833293618,0
PKY2,8,0,1.41157173599834,0.997182028556478,78.8279280003397,58.4183704193975,0.995907461439394,116.060236186547,93.2564085978828,545.129881672118,2.51244225437599,12,0,0,0,0,0,0
PKY2,8,5,1.48215032279825,0.997219999919846,78.2950348160285,57.7293077581586,0.996108696224751,113.170863002077,89.6910191707291,535.830630348418,2.51197901074276,12,3.79713633681389e-05,-0.532893184311206,-0.689062661238886,-9.29925132369999,-0.000463243633230359,0
PKY2,8,10,1.55272890959817,0.997176024438656,78.9118607760576,58.1450566826879,0.996282193450098,110.619184912895,86.6458112249458,526.108583201388,2.51125137122675,12,-6.00411782181176e-06,0.083932775717912,-0.273313736709596,-19.0212984707293,-0.00119088314923976,0
PCY1,1,-10,1.59542350059752,0.996890414766909,82.8062371351271,60.1683083434946,0.996960566638959,100.019199182357,78.132066337756,545.082180165419,2.49463548777031,12,-0.000291613789568657,3.97830913478742,1.7499379240971,-0.0477015066983313,-0.017806766605676,0
PCY1,1,-5,1.6840581395196,0.997139056834133,79.4266841950305,58.1910105459778,0.996438147543074,108.274209785507,85.8733664123287,545.10791112202,2.50711750158134,12,-4.2971722345353e-05,0.59875619469085,-0.227359873419715,-0.0219705500974214,-0.00532475279465494,0
PCY1,1,0,1.77269277844169,0.997182028556478,78.8279280003397,58.4183704193975,0.995907461439394,116.060236186547,93.2564085978828,545.129881672118,2.51244225437599,12,0,0,0,0,0,0
PCY1,1,5,1.86132741736377,0.997110138671002,79.8270938986956,59.8246086829117,0.99543919742094,122.520199916481,99.519908981806,545.148790324728,2.51275179965515,11.32,-7.18898854756844e-05,0.999165898355955,1.40623826351423,0.01890865260998,0.000309545279160606,-0.68
PCY1,1,10,1.94996205628586,0.996980837222045,81.5934095967269,61.7160662021301,0.995067791999029,127.411242718639,104.333512880593,545.165180638247,2.5127518341398,10.53,-0.000201191334433415,2.76548159638719,3.29769578273257,0.0352989661288348,0.000309579763809076,-1.47
