Fz_N,Pressure_psi,Camber_deg,N,Status,RawMu,RobustMu,MeasuredPeakSA_deg,PeakSlope_N_per_deg,EdgeSlope_N_per_deg,MF_mu,MF_peakSA_deg
210,12.1,0,4812,NEAR-PLATEAU,3.30642757559733,3.04178027155288,9.742,-9.25465838509335,4.22291820696065,2.87618716721558,12
432,12.1,0,4751,NEAR-PLATEAU,2.84571216892017,2.64849145344376,11.6585,1.16849816849819,6.26846814122255,2.75024226932845,12
656,12.1,0,4743,NEAR-PLATEAU,2.67529200085389,2.47115062059711,9.354,-6.29870129870081,18.4645529034571,2.61939374831617,12
875,12.1,0,4569,NEAR-PLATEAU,2.59413356473288,2.3722941992983,9.5505,-6.10599078341143,56.0060679611635,2.51052645727064,12
1096,12.1,0,6170,NEAR-PLATEAU,2.52990744829533,2.33842602919954,9.261,-6.77441779631614,56.5281155015176,2.38754351158372,11.6996245306633
871.5,8.1,0,993,NEAR-PLATEAU,2.66090809177085,2.60659741984443,9.844,10.957142857144,17.4294532627848,2.67255697573365,12
871.5,10.1,0,1039,NEAR-PLATEAU,2.67919452421762,2.61796007323097,10.752,-1.97017268445821,14.6173101836715,2.60093236459859,12
871.5,12.1,0,4545,NEAR-PLATEAU,2.59671299259395,2.37757889340247,9.5505,-3.15668202764954,65.3269671504965,2.51244225437599,12
871.5,14.1,0,1153,NEAR-PLATEAU,2.46864060013639,2.41985029065047,10.431,-5.67986230636673,10.2418271383793,2.4070649322721,12
871.5,12.1,0,4545,NEAR-PLATEAU,2.59671299259395,2.37757889340247,9.5505,-3.15668202764954,65.3269671504965,2.51244225437599,12
871.5,12.1,2,2321,RESOLVED,2.59842195540309,2.47276729559748,11.056,-30.117955439057,38.3600826919039,2.4924387357599,12
871.5,12.1,4,2175,NEAR-PLATEAU,2.55037976408079,2.38554609636909,9.56,1.44268077601513,43.0272952853599,2.39816293104621,12
