Check,Status,Detail
MODEL_VERSION,PASS,Accepted frozen model version:  CMM MF LATERAL GLOBAL v1.5 ROBUST
PARAMETER_ORDER,PASS,19-parameter ordering checked.
REFERENCE_FZ,PASS,871.500 N
REFERENCE_PRESSURE,PASS,12.100 psi
REFERENCE_CAMBER,PASS,0.000 deg
FIXED_COEFFICIENTS,PASS,PEY3=0 and PEY4=0.
PRIMARY_7IN_ROUTING,PASS,Selected database contains only Runs 2 and/or 4.
RAW_GLOBAL_R2,PASS,R2 = 0.997057
REFERENCE_R2,PASS,R2 = 0.995909
REFERENCE_RMSE,PASS,RMSE = 109.284 N
REFERENCE_PEAK_MU,PASS,Relative error = 4.23 %
REFERENCE_PEAK_SA,REVIEW,Error = 1.380 deg
CONDITION_R2,PASS,Worst R2 = 0.994563
NONFINITE_GRID,PASS,No non-finite predictions.
GRID_MU_BOUND,REVIEW,Maximum mu = 3.0886
