ET,SA_deg,FY_N,FZ_N,IA_deg,Pressure_kPa,Speed_kph,RUN,PressureState,CamberState,Camber_deg,ConditionID
278.29,0.002,-58.08,1119.32,0.001,82.81,40.24,2,3,1,0,31
278.3,0.085,-83.61,1115.54,0.006,82.56,40.25,2,3,1,0,31
278.31,0.122,-109.1,1107.77,0.012,82.91,40.24,2,3,1,0,31
278.32,0.132,-135.1,1101.03,-0.012,83.27,40.26,2,3,1,0,31
278.33,0.193,-159.99,1091.1,0.009,83.32,40.25,2,3,1,0,31
278.34,0.247,-185.51,1090.21,0.013,82.76,40.25,2,3,1,0,31
278.35,0.29,-210.94,1093.79,-0.006,82.26,40.26,2,3,1,0,31
278.36,0.328,-236.48,1098.87,-0.01,82.26,40.27,2,3,1,0,31
278.37,0.338,-262.82,1103.43,-0.004,82.46,40.28,2,3,1,0,31
278.38,0.405,-288.52,1110.25,0.013,82.97,40.28,2,3,1,0,31
278.39,0.423,-316.04,1121.59,-0.016,83.02,40.29,2,3,1,0,31
278.4,0.47,-342.3,1126.29,-0.016,82.71,40.27,2,3,1,0,31
278.41,0.518,-372.05,1126.04,-0.003,82.11,40.26,2,3,1,0,31
278.42,0.582,-398.92,1119.53,0.004,81.95,40.25,2,3,1,0,31
278.43,0.591,-424.32,1111.35,-0.003,82.41,40.26,2,3,1,0,31
278.44,0.635,-450.56,1102.34,0.016,82.91,40.28,2,3,1,0,31
278.45,0.679,-474.64,1098.18,0.015,83.27,40.27,2,3,1,0,31
278.46,0.73,-500.2,1099,0.019,83.07,40.25,2,3,1,0,31
278.47,0.775,-524.99,1102.17,0.006,82.61,40.26,2,3,1,0,31
278.48,0.819,-548.58,1106,0.019,82.66,40.25,2,3,1,0,31
278.49,0.854,-573.34,1113.99,-0.009,83.17,40.24,2,3,1,0,31
278.5,0.885,-598.27,1120.23,-0.007,83.72,40.23,2,3,1,0,31
278.51,0.94,-624.61,1130.34,0.006,83.83,40.21,2,3,1,0,31
278.52,0.954,-651.55,1131.17,0.012,83.47,40.2,2,3,1,0,31
278.53,0.992,-681.22,1125.08,0.019,82.91,40.2,2,3,1,0,31
278.54,1.053,-706.61,1115.78,0.012,82.86,40.18,2,3,1,0,31
278.55,1.065,-732.72,1108.62,0.007,83.22,40.17,2,3,1,0,31
278.56,1.113,-756.19,1101.7,0.023,83.57,40.17,2,3,1,0,31
278.57,1.167,-776.74,1102.59,0.006,83.72,40.16,2,3,1,0,31
278.58,1.205,-798.12,1099.68,-0.004,83.27,40.13,2,3,1,0,31
278.59,1.237,-818.14,1103.03,-0.012,82.51,40.14,2,3,1,0,31
278.6,1.29,-838.89,1112.09,-0.016,82.51,40.16,2,3,1,0,31
278.61,1.309,-859.76,1119.85,0.004,82.86,40.14,2,3,1,0,31
278.62,1.373,-881.13,1125,-0.006,83.32,40.17,2,3,1,0,31
278.63,1.401,-908.67,1127.35,-0.02,83.22,40.16,2,3,1,0,31
278.64,1.423,-935.59,1123.87,-0.009,82.81,40.16,2,3,1,0,31
278.65,1.47,-961.8,1113.53,0.009,82.21,40.16,2,3,1,0,31
278.66,1.508,-984.3,1104.78,-0.019,82.16,40.15,2,3,1,0,31
278.67,1.553,-1007.04,1097.54,-0.013,82.56,40.15,2,3,1,0,31
278.68,1.597,-1027.02,1095.71,-0.013,83.17,40.15,2,3,1,0,31
278.69,1.638,-1045.07,1098.31,0.006,83.17,40.17,2,3,1,0,31
278.7,1.657,-1060.95,1100.27,-0,82.71,40.16,2,3,1,0,31
278.71,1.699,-1076.14,1104.8,-0.009,82.56,40.18,2,3,1,0,31
278.72,1.732,-1092.14,1112.52,0.004,82.76,40.18,2,3,1,0,31
