AbsSA_deg,Measured_Fy_N
0,0
0,0
0.047,62.4
0.074,84.43
0.11,-10.92
0.179,-62.07
0.233,165.96
0.2775,58.135
0.3345,236.85
0.495,-175.15
0.53,-222.15
0.577,365.32
0.631,61.44
0.6705,34.195
0.7225,-390.385
0.775,39.97
0.822,-420.08
0.875,-419.3
0.944,-446.76
0.974,32.15
1.02,36.04
1.075,-568.44
1.139,-514.53
1.1745,644.94
1.227,663.95
1.27,16.77
1.326,-643.01
1.377,-640.04
1.4135,58.73
1.4695,37.725
1.504,-811.75
1.596,-832.56
1.622,-746.61
1.673,-830.83
1.74,22.25
1.761,906.52
1.819,-873.68
1.886,-882.31
1.931,-897.925
1.969,940.52
2.0135,-1025.235
2.071,60.2499999999999
2.117,-1020.86
2.162,-1016.32
2.21,-982.37
2.279,1131.69
2.328,1139.85
2.364,1096.4
2.43,1110.99
2.473,1167.4
2.519,1195.665
2.583,1215.62
2.625,-1122.94
2.678,-1136.9
2.705,55.335
2.777,1369.245
2.836,1346.02
2.89,1352.49
2.9205,1287.5
2.9735,1357.74
3.012,1364.06
3.0625,1377.87
3.131,1379.91
3.177,43.255
3.202,1397.4
3.26,1505.43
3.317,1391.64
3.386,1444.68
3.432,1456.63
3.472,1497.875
3.5105,1510.335
3.579,1514.43
3.627,1500.925
3.68,1520.43
3.712,58.985
3.772,1497.7
3.8135,1534.365
3.8935,25.11
3.921,1589.21
3.9755,1605.555
4.028,1622.89
4.071,1633.145
4.12,1645.76
4.157,1625.4
4.217,1641.705
4.268,1616.83
4.341,1641.27
4.364,1685.49
4.424,1699.27
4.452,1719.11
4.516,1662.19
4.593,1683.38
4.628,1693.58
4.676,1706.81
4.72,1733.925
4.781,1719.85
4.825,1787.52
4.88,1792.185
4.925,1815.16
4.988,68.995
5.013,51.1950000000001
5.081,1774.38
5.147,1766.18
5.172,1770.32
5.234,44.4
5.274,1828.47
5.331,1800.39
5.383,1800.5
5.4275,1854.15
5.467,-1704.12
5.512,1919.82
5.571,1826.91
5.619,1828.07
5.657,1833.69
5.7265,1908.81
5.7645,115.415
5.8375,-5.58500000000004
5.869,1895.565
5.927,1912.46
5.973,1935.88
6.033,1900.73
6.078,1885.83
6.12,82.22
6.177,1862.69
6.233,-1889.73
6.2725,33.71
6.3235,1877.885
6.373,-1896.66
6.4175,50.48
6.482,1915.66
6.53,1973.76
6.5675,-63.62
6.6255,-1827.585
6.675,1895.76
6.7245,91.78
6.776,93.78
6.841,1901.38
6.885,-1793.62
6.923,1897.01
6.957,1975.46
7.017,-1797.88
7.066,-68.605
7.1295,-1864.1
7.1725,-0.805000000000064
7.2385,2084.62
7.278,99.85
7.322,1993.355
7.364,1918.48
7.429,1914.39
7.4825,1993.55
7.521,-1843.23
7.564,-1917.4
7.618,-1927.53
7.6845,138.705
7.7245,34.455
7.7735,90.48
7.813,-1824.5
7.873,1927.53
7.928,2079.28
7.9645,-1907.005
8.0375,-1865.265
8.076,162.61
8.1145,2015.385
8.171,1930.84
8.2355,2029.335
8.279,-1870.525
8.329,-1834.04
8.375,40.8100000000001
8.432,-1931.71
8.475,-6.23500000000001
8.511,-1990.21
8.583,-1888.45
8.6405,-1891.3
8.6815,35.145
8.727,-1908.25
8.786,2002.63
8.8245,43.3000000000001
8.8615,-1867.11
8.92,-1923.99
8.979,-1942.05
9.0315,-1951.28
9.09,45.175
9.121,-1948.29
9.175,-1919.81
9.236,-1988.79
9.267,1996.44
9.3275,-1930.225
9.374,-1933.87
9.411,-2069.99
9.487,1908.92
9.526,-1964.79
9.5745,-1829.49
9.621,1916.92
9.681,2005.94
9.736,1955.675
9.784,2023.84
9.833,-1892.21
9.864,41.2750000000001
9.918,-1900.94
9.978,-1898.49
10.023,-7.375
10.0775,2017.165
10.132,-1835.42
10.179,-1890.76
10.215,1996.5
10.2795,0.379999999999995
10.319,-2020.285
10.383,1915.11
10.43,-1883.78
10.475,11.115
10.5305,2090.32
10.58,-1878.405
10.6185,-1878.095
10.673,-1825.05
10.718,-1883.75
10.7745,-1983.48
10.826,-2059.175
10.874,-2020.59
10.934,-1873.48
10.972,-1947.4
11.0175,-1946.575
11.068,-1879.055
11.1365,35.1849999999999
11.181,-1947.35
11.2145,-1841.225
11.2815,-1905.05
11.3375,-1902.68
11.3805,1904.945
11.4205,-1824.065
11.4725,-1896.02
11.515,2001.2
11.566,-1999.72
11.6395,-2092.67
11.677,-1941.885
11.73,1888.69
11.7835,-1827.925
11.813,1892
11.865,2004.56
11.922,1888.235
11.976,-1982.685
12.021,-1829.24
12.065,-2091.33
12.1155,-1937.79
12.169,2010.74
12.248,-2027.59
