Pressure_psi,Camber_deg,Fz_N,Measured_Fy_peak_N,MF_Fy_peak_N,Fy_error_pct,Measured_mu,MF_mu,mu_error_pct,Measured_peak_SA_deg,MF_peak_SA_deg,Peak_SA_error_deg,Measured_Calpha_N_per_deg,MF_Calpha_N_per_deg,Calpha_error_pct
7.86829727205598,0,1082.83,2184.975,2708.0673440431,23.9404269633795,NaN,2.50091643567605,NaN,11.6,10.7,-0.899999999999999,NaN,-599.389628856702,NaN
7.86829727205598,2,875.83,1659.24,2296.51147416957,38.4074319670192,NaN,2.62209729533079,NaN,6,10.35,4.35,NaN,-554.612205360196,NaN
7.90455670648942,-0,1049.565,2741.21,2644.49151337059,-3.52831365088437,NaN,2.5196071833289,NaN,10,10.57,0.57,494.884249843317,-596.400095396123,-220.513048371401
7.90455670648942,2,679.05,2769.72,1871.39428345266,-32.4338097911465,2.56882710548593,2.7559005720531,7.2824467698764,10.6,9.82,-0.779999999999999,NaN,-496.583100559545,NaN
7.90455670648942,4,891.62,2439.38,2267.67394437862,-7.03892200564803,2.40739637254841,2.54331884028916,5.64603607825778,7.4,11.08,3.68,NaN,-511.093800284377,NaN
7.94081614092286,-0,913.155,2670.97,2376.26947233796,-11.0334645339349,2.48303158189258,2.60226300281766,4.8018487479003,11.8,10.08,-1.72,533.833503447716,-577.874711530672,-208.249989518927
7.94081614092286,2,846.77,2422.255,2233.7100912609,-7.78385879022227,2.73193406460945,2.63791831460834,-3.44136233809703,11,10.26,-0.74,NaN,-547.577646649151,NaN
7.94081614092286,4,872.825,2390.68,2230.13596487625,-6.71541298391024,2.54238125834033,2.55507801091428,0.499403955732294,9,11.02,2.02,NaN,-507.21701493988,NaN
7.9770755753563,0,875.53,2715.245,2296.98644831535,-15.404081461697,2.62753958549204,2.62353825490314,-0.152284312327521,9.8,9.96,0.16,NaN,-570.101395545798,NaN
7.9770755753563,2,677.51,2508.605,1864.91479862644,-25.6592887829513,2.75360216843407,2.7526011403912,-0.0363534011681867,8.8,9.82,1.02,NaN,-495.353811557804,NaN
7.9770755753563,4,680.85,2399.34,1834.84066753477,-23.5272755201528,2.39042630350382,2.69492644126425,12.738319408304,9.2,10.48,1.28,NaN,-454.546234544283,NaN
8.01333500978973,0,684.005,2406.045,1874.24145264479,-22.102809687899,2.56984205215328,2.74009905285018,6.62519319248608,12.2,9.45,-2.75,NaN,-512.378802970733,NaN
8.01333500978973,2,666.16,2146.17,1837.45862420076,-14.3842927540335,2.59631706024835,2.7582842323177,6.2383433267529,8.6,9.79,1.19,NaN,-490.559291660384,NaN
8.01333500978973,4,668.34,2118.92,1805.93533932253,-14.7709522151603,2.42083515991531,2.70212068606177,11.619358922245,7.6,10.45,2.85,NaN,-449.726486511764,NaN
8.04959444422317,-0,667.93,2258.015,1835.39427010372,-18.716471320885,2.58516025632493,2.74788416466354,6.29453852775612,12,9.41,-2.59,NaN,-505.575014358233,NaN
8.04959444422317,2,654.57,1901.11,1809.31626140281,-4.82842858104962,2.63033808854371,2.76412952228609,5.08647288822312,8.6,9.77,1.17,NaN,-485.536764780362,NaN
8.04959444422317,4,665.745,2413.95,1798.79088349174,-25.4835069702464,2.43232813275263,2.70192173203214,11.0837676730078,12.2,10.44,-1.76,NaN,-448.480739770415,NaN
8.08585387865661,-0,681.54,2501.31,1865.58160490598,-25.4158179151733,2.59373320594733,2.73730317355691,5.53526350668535,10.2,9.44,-0.76,NaN,-510.753220538692,NaN
8.08585387865661,2,662.82,2160.665,1826.89315653443,-15.4476442884748,2.61998763190665,2.75624325840262,5.20062098143619,11,9.78,-1.22,NaN,-488.59235333678,NaN
8.08585387865661,4,662.09,2214.77,1789.30789502245,-19.2102161839628,2.48425973751761,2.70251460529905,8.78550919959481,8.6,10.43,1.83,NaN,-446.834732237167,NaN
8.12211331309005,0,677.14,2555.86,1853.91975422305,-27.4639552157376,2.57487216951165,2.73786772930716,6.33023890372082,12,9.43,-2.57,NaN,-508.673403263599,NaN
8.12211331309005,2,659.185,2219.77,1817.09991855734,-18.140171343998,2.59381727480524,2.75658566040996,6.27524487502447,12,9.77,-2.23,NaN,-486.807870538141,NaN
8.12211331309005,4,667.16,1987.075,1799.07409185379,-9.46118833693771,2.37797221867638,2.69661564220546,13.3997958860278,7.4,10.44,3.04,NaN,-448.426886642223,NaN
8.15837274752349,0,662.865,2215.59,1819.25146660213,-17.8886225970451,2.53602834568458,2.74452787008234,8.22149818445642,8.2,9.4,1.2,NaN,-502.516203980666,NaN
8.15837274752349,2,658.64,2292.38,1814.41854492451,-20.8500098184196,2.5608205639506,2.75479555587956,7.57472017600917,9.6,9.77,0.17,NaN,-486.275343135996,NaN
8.15837274752349,4,649.43,2210.6,1758.45287915802,-20.4535927278557,2.44101690355558,2.70768655460638,10.9245311108813,11.2,10.41,-0.789999999999999,NaN,-441.4647184427,NaN
8.19463218195692,-0,662.52,2522.67,1817.01895769449,-27.9723880771371,2.57830866286431,2.74258732973267,6.37156711430561,9.8,9.4,-0.4,NaN,-502.052649379682,NaN
8.19463218195692,2,632.68,2251.35,1752.87588931277,-22.1411202472842,2.51865219925571,2.77055682068782,10.0015643885467,12.2,9.72,-2.48,NaN,-475.038568496794,NaN
8.19463218195692,4,643.31,2085.34,1743.44470941547,-16.3951821086503,2.45361149912134,2.71011597739111,10.4541602597486,9.8,10.39,0.59,NaN,-438.809037152329,NaN
8.23089161639036,-0,836.15,2584.28,2201.96308279688,-14.7939432725215,2.52094758862441,2.63345462273143,4.46288667859243,8.4,9.83,1.43,NaN,-558.597100864641,NaN
8.23089161639036,2,671.67,2515.33,1841.38208677882,-26.7936180628858,2.55349139553183,2.74149818628019,7.36273445359322,10.2,9.79,-0.409999999999998,NaN,-490.867461766062,NaN
8.23089161639036,4,671.995,2629.76,1805.44196956887,-31.345751339709,2.39284574082101,2.68668958782263,12.2800998822765,12,10.45,-1.55,NaN,-449.32841786879,NaN
8.2671510508238,-0,900.48,2608.87,2333.86397479306,-10.5411931298585,2.4481605665286,2.59179990093401,5.86723503226291,10.4,10.03,-0.370000000000001,NaN,-572.219248830268,NaN
8.2671510508238,2,852.275,2671.34,2229.2252256255,-16.5502996389267,2.52526402235935,2.61561728975448,3.57797309885675,11.4,10.26,-1.14,NaN,-545.687288545466,NaN
8.2671510508238,4,853.56,2682.55,2177.57007481372,-18.8246230335421,2.43063132929941,2.55116227894198,4.95883304842082,11,10.94,-0.0600000000000005,NaN,-500.409405100146,NaN
8.30341048525724,-0,1030.855,2459.07,2587.02711853735,5.20347605140756,NaN,2.50959360776962,NaN,7,10.48,3.48,NaN,-590.496447452227,NaN
8.30341048525724,2,1023.62,2519.82,2556.34005115336,1.44931190138013,NaN,2.4973525831396,NaN,10,10.85,0.85,NaN,-572.652908560302,NaN
9.86256616589506,-0,1111.995,1987.57,2649.14384859194,33.2855621986616,NaN,2.38233431678374,NaN,4,10.74,6.74,611.110460598041,-580.219365746541,-194.945088188923
9.8988256003285,-0,1115.51,2261.945,2653.29846848844,17.3016350304027,NaN,2.37855193453079,NaN,9.8,10.75,0.949999999999999,596.651461366579,-580.01557146613,-197.211790973855
9.8988256003285,2,1139.045,2090.245,2667.59711983391,27.6212654417982,NaN,2.34195937810527,NaN,4.8,11.24,6.44,NaN,-564.269990990643,NaN
9.8988256003285,4,1136.88,1510.76,2581.17629027717,70.8528350153015,NaN,2.27040346410982,NaN,4.4,11.95,7.55,NaN,-518.362341860399,NaN
9.93508503476193,0,1073.33,2437.86,2577.98599815808,5.74790997670433,2.18925315640505,2.40185776802855,9.71128491931088,6.2,10.59,4.39,536.834385144605,-577.087810625579,-207.498294929475
9.93508503476193,2,923.34,1966.27,2290.46073281643,16.4876000150756,1.744646030936,2.48062548228868,42.1850299890244,4.2,10.44,6.24,NaN,-543.136180516718,NaN
9.93508503476193,4,894.23,2255.07,2178.78571617418,-3.38279006087696,2.10668056921287,2.43649364947964,15.6555808738486,5.8,11.02,5.22,NaN,-493.280426394108,NaN
9.97134446919537,0,904.9,2777.775,2262.14889601863,-18.5625583058877,2.53810229466972,2.49988827054772,-1.50561402518159,11.6,9.99,-1.61,NaN,-555.873290542537,NaN
9.97134446919537,2,680.025,2487.31,1794.53193111639,-27.8525020557794,2.55244712899466,2.6389205266224,3.38786244171079,7.8,9.76,1.96,NaN,-478.966739406975,NaN
9.97134446919537,4,684.5,2268.905,1767.86363224536,-22.0829593021587,2.12739959869426,2.58270800912397,21.4021103843944,6,10.42,4.42,NaN,-439.810681307074,NaN
10.0076039036288,-0,669.36,2435.465,1765.41938610471,-27.5120198358544,2.60775048709019,2.63747368546777,1.13980223663001,11,9.36,-1.64,NaN,-488.793949415357,NaN
10.0076039036288,2,665.7,2110.49,1761.78102403355,-16.5226547373574,2.60514156500968,2.64650897406271,1.58791405460053,11.6,9.73,-1.87,NaN,-473.21103235271,NaN
10.0076039036288,4,666.145,2049.97,1727.93645331122,-15.7091833875022,2.41871878012444,2.59393443366117,7.24415153082484,9.8,10.38,0.58,NaN,-433.12153256938,NaN
10.0438633380622,0,666.29,2672.88,1757.27513370066,-34.2553674799969,2.58717274222734,2.63740283315172,1.94150510727528,12.2,9.35,-2.85,NaN,-487.252328083049,NaN
10.0438633380622,2,659.985,2125.375,1747.90215830552,-17.7602936749741,2.57681183862486,2.64839679432944,2.77804357429474,10.2,9.71,-0.489999999999998,NaN,-470.672571118099,NaN
10.0438633380622,4,672.56,2049.68,1740.25647176613,-15.0961871235448,2.43066338152573,2.58751110944172,6.45287739586306,10.2,10.39,0.190000000000001,NaN,-435.104794171454,NaN
10.0801227724957,-0,674.255,2287.85,1773.84022663169,-22.4669350424333,2.60497950353187,2.63081508721729,0.991776850849946,11.6,9.36,-2.24,NaN,-490.074288118904,NaN
10.0801227724957,2,657.9,2201.155,1742.04346588953,-20.8577557741489,2.6013876032491,2.64788488507301,1.78740306772563,11.4,9.71,-1.69,NaN,-469.542214050906,NaN
10.0801227724957,4,665.625,2150.36,1724.36867012591,-19.8102331644048,2.44785199335926,2.5906008189685,5.83159545579137,8,10.38,2.38,NaN,-432.363610275529,NaN
10.1163822069291,-0,672.62,2603.26,1768.92796813617,-32.0495083804088,2.58685495538944,2.62990688373252,1.66425752837009,12,9.36,-2.64,NaN,-489.112056926865,NaN
10.1163822069291,2,665.74,2265.8,1758.09936631772,-22.4071247984058,2.58017080160676,2.64081978898327,2.35058033129982,12.2,9.72,-2.48,NaN,-472.291196468611,NaN
10.1163822069291,4,670.03,2078.68,1732.44521393061,-16.6564736308324,2.40906785727707,2.58562335108967,7.32878873790465,8.2,10.39,2.19,NaN,-433.640008806366,NaN
10.1526416413626,-0,666.64,2342.25,1754.30647669405,-25.1016553871682,2.61598110560005,2.63156497764018,0.595718065653182,8.4,9.35,0.949999999999999,NaN,-486.429124467134,NaN
